SKU번호,상품명,보관위치,현재재고,출고대기,입고예정,최종갱신일,상태
SKU-001,블루투스 이어폰 Pro,인천물류센터 1구역,445,12,0,2025-12-14,정상
SKU-002,무선충전기 30W,인천물류센터 1구역,275,8,50,2025-12-13,정상
SKU-003,핸드폰케이스(투명),인천물류센터 2구역,1180,25,100,2025-12-15,정상
SKU-004,USB-C 데이터케이블 1m,인천물류센터 2구역,900,15,0,2025-12-14,정상
SKU-005,스마트워치 스포츠에디션,부산물류센터 3구역,148,5,30,2025-12-12,정상
SKU-006,보조배터리 20000mAh,부산물류센터 3구역,315,10,0,2025-12-13,정상
SKU-007,노이즈캔슬링 헤드폰,부산물류센터 4구역,110,3,20,2025-12-15,정상
SKU-008,태블릿 거치대 조절형,인천물류센터 1구역,555,8,0,2025-12-11,정상
SKU-009,무선마우스 무소음,인천물류센터 2구역,418,6,0,2025-12-14,정상
SKU-010,기계식키보드 청축,부산물류센터 3구역,178,4,0,2025-12-12,정상
SKU-011,강화유리 보호필름,인천물류센터 1구역,2050,55,200,2025-12-15,정상
SKU-012,차량용 핸드폰거치대 마그네틱,인천물류센터 2구역,338,7,0,2025-12-13,정상
SKU-013,스마트스피커 미니,부산물류센터 4구역,205,8,0,2025-12-14,정상
SKU-014,LED 스탠드 눈보호형,부산물류센터 3구역,170,6,0,2025-12-11,정상
SKU-015,스포츠 암밴드 폰케이스,인천물류센터 1구역,675,10,0,2025-12-15,정상
SKU-016,블루투스 스피커 방수형,인천물류센터 2구역,285,9,0,2025-12-12,정상
SKU-017,고속충전 어댑터 65W,부산물류센터 3구역,405,12,30,2025-12-14,정상
SKU-018,꼬임방지 케이블 2m,인천물류센터 1구역,748,5,0,2025-12-13,정상
SKU-019,무선이어폰 인이어,부산물류센터 4구역,85,4,20,2025-12-15,재고부족
SKU-020,노트북 쿨링패드,인천물류센터 2구역,228,3,0,2025-12-11,정상
SKU-021,웹캠 1080P HD,부산물류센터 3구역,140,6,0,2025-12-14,정상
SKU-022,USB허브 7포트,인천물류센터 1구역,305,8,0,2025-12-12,정상
SKU-023,스마트 플러그 WiFi,부산물류센터 4구역,190,5,0,2025-12-15,정상
SKU-024,블루투스 키보드 접이식,인천물류센터 2구역,155,7,0,2025-12-13,정상
SKU-025,드로잉 태블릿,부산물류센터 3구역,115,4,0,2025-12-11,정상
SKU-026,멀티 카드리더기,인천물류센터 1구역,575,10,0,2025-12-14,정상
SKU-027,HDMI 케이블 2.1버전,인천물류센터 2구역,435,8,0,2025-12-12,정상
SKU-028,이어폰 수납케이스,부산물류센터 4구역,345,6,0,2025-12-15,정상
SKU-029,핸드폰 짐벌 스태빌라이저,부산물류센터 3구역,70,3,10,2025-12-13,재고부족
SKU-030,미니 프로젝터 휴대용,부산물류센터 4구역,55,2,15,2025-12-14,재고부족
