Mã kiểm tra,Ngày,Ca,Người kiểm tra,Mã lô,Sản phẩm,Số lượng kiểm,Số lỗi,Loại lỗi,Mô tả lỗi,Vị trí lỗi,Mức độ,Hành động
QC-20240318-001,2024-03-18,Sáng,Nguyễn Văn Hùng,LOT-A0318-01,PCB-A2024,200,3,Hàn lỗi,Thiếu thiếc tại chân IC U5 và U7,Mặt trên - khu vực IC,Nghiêm trọng,Cách ly lô hàng
QC-20240318-002,2024-03-18,Sáng,Nguyễn Văn Hùng,LOT-A0318-01,PCB-A2024,200,5,Lệch linh kiện,Tụ C12 C15 bị lệch >0.3mm so với pad,Mặt trên - khu vực nguồn,Chính,Sửa lại
QC-20240318-003,2024-03-18,Chiều,Trần Thị Mai,LOT-A0318-02,PCB-A2024,200,2,Hàn lỗi,Hàn ảo tại chân connector J3,Mặt dưới - connector,Nghiêm trọng,Cách ly lô hàng
QC-20240318-004,2024-03-18,Chiều,Trần Thị Mai,LOT-B0318-01,PCB-A2024,150,4,Thiếu linh kiện,Thiếu điện trở R22 R23 R25 R28,Mặt trên - khu vực tín hiệu,Chính,Sửa lại
QC-20240319-001,2024-03-19,Sáng,Nguyễn Văn Hùng,LOT-A0319-01,PCB-A2024,200,6,Hàn lỗi,Nhiều điểm hàn ảo tại khu vực QFP U3,Mặt trên - IC chính,Nghiêm trọng,Dừng sản xuất kiểm tra
QC-20240319-002,2024-03-19,Sáng,Nguyễn Văn Hùng,LOT-A0319-01,PCB-A2024,200,3,Lệch linh kiện,LED D1 D3 bị xoay 45 độ,Mặt trên - khu vực hiển thị,Phụ,Sửa lại
QC-20240319-003,2024-03-19,Chiều,Trần Thị Mai,LOT-B0319-01,PCB-A2024,150,8,Hàn lỗi,Hàn ảo nghiêm trọng trên toàn bộ mặt dưới - nghi ngờ nhiệt độ reflow không đủ,Mặt dưới - toàn bộ,Nghiêm trọng,Dừng sản xuất
QC-20240319-004,2024-03-19,Chiều,Lê Hoàng Nam,LOT-B0319-01,PCB-A2024,150,2,Ngoại quan,Vết trầy xước trên mặt PCB gần khu vực antenna,Mặt trên - antenna,Phụ,Chấp nhận có điều kiện
QC-20240320-001,2024-03-20,Sáng,Nguyễn Văn Hùng,LOT-A0320-01,PCB-A2024,200,12,Hàn lỗi,Hàn lạnh hàng loạt - lò reflow zone 3 mất nhiệt,Toàn bộ PCB,Nghiêm trọng,Dừng dây chuyền
QC-20240320-002,2024-03-20,Sáng,Nguyễn Văn Hùng,LOT-A0320-01,PCB-A2024,200,4,Cầu thiếc,Cầu thiếc giữa chân IC U5 pin 12-13 và pin 45-46,Mặt trên - IC U5,Nghiêm trọng,Cách ly
QC-20240320-003,2024-03-20,Chiều,Trần Thị Mai,LOT-A0320-02,PCB-A2024,200,2,Lệch linh kiện,Chip resistor 0402 lệch nhẹ,Mặt trên,Phụ,Chấp nhận
QC-20240320-004,2024-03-20,Chiều,Lê Hoàng Nam,LOT-B0320-01,PCB-A2024,150,3,Hàn lỗi,Thiếu thiếc tại một số pad nhỏ,Mặt trên - khu vực passive,Chính,Sửa lại
QC-20240321-001,2024-03-21,Sáng,Nguyễn Văn Hùng,LOT-A0321-01,PCB-A2024,200,2,Hàn lỗi,Hàn ảo nhẹ tại connector,Mặt dưới,Chính,Sửa lại
QC-20240321-002,2024-03-21,Chiều,Trần Thị Mai,LOT-B0321-01,PCB-A2024,150,5,Hàn lỗi,Hàn ảo tại chân QFP - nghi nozzle bẩn,Mặt trên - QFP,Nghiêm trọng,Cách ly
QC-20240321-003,2024-03-21,Chiều,Lê Hoàng Nam,LOT-B0321-01,PCB-A2024,150,1,Ngoại quan,Bọt khí nhỏ trong lớp solder mask,Mặt dưới,Phụ,Chấp nhận
QC-20240322-001,2024-03-22,Sáng,Nguyễn Văn Hùng,LOT-A0322-01,PCB-A2024,200,1,Lệch linh kiện,Crystal Y1 lệch nhẹ nhưng vẫn trong dung sai,Mặt trên,Phụ,Chấp nhận
QC-20240322-002,2024-03-22,Chiều,Trần Thị Mai,LOT-B0322-01,PCB-A2024,150,2,Hàn lỗi,Thiếu thiếc nhẹ tại 2 pad,Mặt trên,Chính,Sửa lại
QC-20240323-001,2024-03-23,Sáng,Nguyễn Văn Hùng,LOT-A0323-01,PCB-A2024,200,3,Hàn lỗi,Hàn lạnh tại vài điểm - feeder không ổn định,Mặt trên,Chính,Sửa lại
QC-20240323-002,2024-03-23,Chiều,Trần Thị Mai,LOT-A0323-02,PCB-A2024,200,4,Thiếu linh kiện,Thiếu capacitor C8 C9 do feeder kẹt,Mặt trên - decoupling,Chính,Sửa lại bổ sung
QC-20240323-003,2024-03-23,Chiều,Lê Hoàng Nam,LOT-B0323-01,PCB-A2024,150,2,Hàn lỗi,Cầu thiếc nhẹ,Mặt dưới,Chính,Sửa lại
QC-20240324-001,2024-03-24,Sáng,Nguyễn Văn Hùng,LOT-A0324-01,PCB-A2024,200,1,Ngoại quan,Vết bẩn nhỏ trên PCB,Mặt trên,Phụ,Chấp nhận
QC-20240324-002,2024-03-24,Chiều,Trần Thị Mai,LOT-B0324-01,PCB-A2024,150,2,Hàn lỗi,Hàn ảo nhẹ tại 2 điểm,Mặt dưới,Phụ,Chấp nhận có điều kiện
