时间戳,生产线,设备,参数名称,设定值,实际值,单位,状态,操作员
2024-04-01 06:15,A线,回流焊炉RF-01,Zone1温度,160,162,°C,正常,张伟
2024-04-01 06:15,A线,回流焊炉RF-01,Zone2温度,185,186,°C,正常,张伟
2024-04-01 06:15,A线,回流焊炉RF-01,Zone3温度,225,228,°C,正常,张伟
2024-04-01 06:15,A线,回流焊炉RF-01,Zone4峰值温度,245,248,°C,偏高,张伟
2024-04-01 06:15,A线,回流焊炉RF-01,传送带速度,0.8,0.8,m/min,正常,张伟
2024-04-01 08:30,A线,锡膏印刷机SP-01,印刷压力,5.0,5.2,kg,正常,李明
2024-04-01 08:30,A线,锡膏印刷机SP-01,刮刀速度,40,40,mm/s,正常,李明
2024-04-01 08:30,A线,锡膏印刷机SP-01,脱模速度,3.0,3.0,mm/s,正常,李明
2024-04-02 06:20,A线,回流焊炉RF-01,Zone1温度,160,163,°C,正常,张伟
2024-04-02 06:20,A线,回流焊炉RF-01,Zone2温度,185,188,°C,正常,张伟
2024-04-02 06:20,A线,回流焊炉RF-01,Zone3温度,225,232,°C,偏高,张伟
2024-04-02 06:20,A线,回流焊炉RF-01,Zone4峰值温度,245,253,°C,超标,张伟
2024-04-02 06:20,A线,回流焊炉RF-01,传送带速度,0.8,0.75,m/min,偏慢,张伟
2024-04-02 09:00,A线,锡膏印刷机SP-01,印刷压力,5.0,5.8,kg,偏高,李明
2024-04-02 09:00,A线,锡膏印刷机SP-01,刮刀速度,40,38,mm/s,正常,李明
2024-04-02 09:00,A线,锡膏印刷机SP-01,脱模速度,3.0,2.5,mm/s,偏慢,李明
2024-04-03 06:15,A线,回流焊炉RF-01,Zone3温度,225,230,°C,偏高,张伟
2024-04-03 06:15,A线,回流焊炉RF-01,Zone4峰值温度,245,251,°C,超标,张伟
2024-04-03 06:15,A线,回流焊炉RF-01,传送带速度,0.8,0.78,m/min,正常,张伟
2024-04-03 09:30,A线,锡膏印刷机SP-01,印刷压力,5.0,6.2,kg,超标,李明
2024-04-03 09:30,A线,锡膏印刷机SP-01,刮刀速度,40,42,mm/s,正常,李明
2024-04-03 09:30,A线,贴片机MT-01,吸嘴真空度,-85,-72,kPa,偏低,王强
2024-04-03 09:30,A线,贴片机MT-01,贴装精度X,0.00,0.05,mm,正常,王强
2024-04-03 09:30,A线,贴片机MT-01,贴装精度Y,0.00,0.03,mm,正常,王强
2024-04-04 06:30,A线,回流焊炉RF-01,Zone3温度,225,233,°C,超标,张伟
2024-04-04 06:30,A线,回流焊炉RF-01,Zone4峰值温度,245,255,°C,超标,张伟
2024-04-04 06:30,A线,回流焊炉RF-01,传送带速度,0.8,0.73,m/min,偏慢,张伟
2024-04-04 10:00,A线,贴片机MT-01,吸嘴真空度,-85,-68,kPa,超标,王强
2024-04-04 10:00,A线,贴片机MT-01,贴装精度X,0.00,0.18,mm,偏高,王强
2024-04-04 10:00,A线,贴片机MT-01,贴装精度Y,0.00,0.12,mm,正常,王强
2024-04-05 06:15,A线,回流焊炉RF-01,Zone4峰值温度,245,249,°C,偏高,张伟
2024-04-05 07:00,A线,锡膏印刷机SP-01,锡膏温度,25,23,°C,偏低,李明
2024-04-05 07:00,A线,锡膏印刷机SP-01,锡膏粘度,180,210,Pa·s,偏高,李明
2024-04-05 10:00,B线,电动螺丝刀TD-02,扭力设定,0.5,0.5,N·m,正常,陈刚
2024-04-05 10:00,B线,点胶机GL-01,胶量设定,0.05,0.04,mL,偏少,陈刚
