科目,2023年Q4实际,2023年Q4预算,同比增长率,2023全年累计,备注
营业收入,1850000000,1720000000,18.5%,6890000000,超出预算7.6%
其中：中国区收入,680000000,620000000,22.3%,2450000000,新客户贡献显著
其中：日本区收入,750000000,710000000,15.8%,2830000000,稳定增长
其中：韩国区收入,320000000,290000000,21.4%,1210000000,详见韩国子公司报告
其中：其他地区收入,100000000,100000000,8.7%,400000000,东南亚业务拓展中
营业成本,1017500000,980000000,16.2%,3858000000,毛利率维持45%
毛利润,832500000,740000000,21.5%,3032000000,毛利率45.0%
研发费用,222000000,210000000,20.0%,850000000,占收入12.0%
销售及管理费用,277500000,258000000,15.3%,1034000000,占收入15.0%
营业利润,333000000,272000000,28.5%,1148000000,营业利润率18.0%
利息收入,12000000,10000000,25.0%,45000000,现金管理收益
利息支出,18000000,20000000,-5.0%,72000000,长期贷款利息
汇兑损益,-8500000,0,,32000000,日元贬值影响
税前利润,318500000,262000000,26.8%,1153000000,
所得税费用,79625000,65500000,,288250000,有效税率25%
净利润,238875000,196500000,27.2%,864750000,净利润率12.9%
每股收益(元),3.98,3.28,21.5%,14.41,基于60000000股
经营活动现金流,385000000,320000000,20.3%,1380000000,现金流充裕
资本支出,125000000,150000000,-16.7%,520000000,部分项目延期
自由现金流,260000000,170000000,52.9%,860000000,
期末现金余额,2850000000,,,2850000000,充足的流动性
总资产,12500000000,,,12500000000,同比增长15%
总负债,4200000000,,,4200000000,资产负债率33.6%
股东权益,8300000000,,,8300000000,每股净资产138.33元
员工人数(人),4850,4700,,4850,净增加350人
研发人员占比,38%,,,38%,核心竞争力
