路线编号,物流公司,起运城市,目的城市,运输方式,每公斤费用(元),最低收费(元),时效(天),体积重系数,可接受品类,备注
RT-RU-001,中俄国际物流,深圳,莫斯科,铁路运输,35.00,500,18-22,6000,普货/电子产品,经满洲里口岸
RT-RU-002,中俄国际物流,深圳,莫斯科,空运,85.00,200,5-7,5000,全品类,深圳直飞
RT-RU-003,丝路速运,义乌,莫斯科,铁路运输,32.00,450,20-25,6000,普货/轻工业品,经阿拉山口
RT-RU-004,丝路速运,义乌,圣彼得堡,铁路运输,38.00,500,22-28,6000,普货,经满洲里
RT-RU-005,远东快线,广州,海参崴,海运,18.00,800,25-32,4000,大件/非敏感货,广州港出发
RT-RU-006,远东快线,广州,莫斯科,海铁联运,28.00,600,28-35,5000,普货/家具,经海参崴转铁路
RT-RU-007,空桥货运,上海,莫斯科,空运,92.00,250,3-5,5000,高值电子/敏感货,浦东直飞
RT-RU-008,空桥货运,上海,新西伯利亚,空运,88.00,250,4-6,5000,全品类,经停阿拉木图
RT-RU-009,中通国际,深圳,莫斯科,公路运输,42.00,300,12-15,5000,小包裹/电商件,全程公路
RT-RU-010,欧亚物流,广州,莫斯科,铁路运输,33.00,480,19-24,6000,普货/建材,经二连浩特
RT-RU-011,欧亚物流,上海,叶卡捷琳堡,铁路运输,36.00,500,16-20,6000,机械/设备,经哈萨克斯坦
RT-RU-012,速达国际,深圳,莫斯科,空运快递,120.00,150,2-4,5000,紧急件/样品,DHL/FedEx通道
