维修单号,日期,设备编号,设备名称,故障类型,故障描述,维修措施,更换部件,停机时间_小时,维修人员,备注
WO-2023-0115,2023-01-15,NXT3-01,高速贴片机NXT-III,机械故障,X轴异音严重定位偏差增大,更换X轴滚珠丝杆,滚珠丝杆X轴,8.0,陈工,丝杆使用12000小时
WO-2023-0203,2023-02-03,NXT3-01,高速贴片机NXT-III,吸嘴故障,多个吸嘴吸取率下降至85%,清洗并更换磨损吸嘴,01号吸嘴x3/03号吸嘴x2,1.5,王工,定期更换
WO-2023-0228,2023-02-28,NXT3-01,高速贴片机NXT-III,电气故障,控制继电器接触不良导致间歇性停机,更换继电器模块,控制继电器x2,2.0,李工,继电器使用超过2年
WO-2023-0315,2023-03-15,NXT3-01,高速贴片机NXT-III,供料故障,8mm飞达送料不准多次报错,更换飞达链轮,8mm链轮x4,1.0,王工,链轮磨损
WO-2023-0402,2023-04-02,NXT3-01,高速贴片机NXT-III,气动故障,真空度不足吸嘴吸取失败,更换真空发生器滤芯,真空滤芯x4,0.5,陈工,季度更换
WO-2023-0418,2023-04-18,NXT3-01,高速贴片机NXT-III,视觉故障,底部相机识别率下降照明亮度不足,更换LED照明单元,底部相机LED,3.0,李工,LED使用18个月
WO-2023-0512,2023-05-12,NXT3-01,高速贴片机NXT-III,机械故障,Y轴皮带松动定位精度下降,调整皮带张力并更换,Y轴同步带,2.5,陈工,皮带使用14个月
WO-2023-0601,2023-06-01,NXT3-01,高速贴片机NXT-III,吸嘴故障,07号大型吸嘴QFP贴装偏移,更换吸嘴并重新校准,07号吸嘴x2,1.0,王工,吸嘴变形
WO-2023-0620,2023-06-20,NXT3-01,高速贴片机NXT-III,供料故障,12mm飞达多次卡料,清洁并更换盖带导向,12mm链轮x3,0.8,王工,粉尘积累
WO-2023-0715,2023-07-15,NXT3-01,高速贴片机NXT-III,气动故障,气压波动导致贴装高度不稳,更换空气滤芯调整减压阀,空气滤芯x2,1.0,陈工,滤芯堵塞
WO-2023-0803,2023-08-03,NXT3-01,高速贴片机NXT-III,机械故障,Z轴皮带断裂紧急停机,紧急更换Z轴皮带,Z轴同步带x2,4.0,陈工,皮带疲劳断裂
WO-2023-0825,2023-08-25,NXT3-01,高速贴片机NXT-III,电气故障,伺服电机X轴电流异常,更换轴承消除异音,伺服电机轴承XY型x2,3.5,李工,轴承磨损
WO-2023-0910,2023-09-10,NXT3-01,高速贴片机NXT-III,吸嘴故障,批量吸取不良03号吸嘴组,全部更换03号吸嘴,03号吸嘴x5,1.0,王工,超过寿命周期
WO-2023-0928,2023-09-28,NXT3-01,高速贴片机NXT-III,视觉故障,顶部相机校准偏差超标,重新校准并更换LED,顶部相机LED,2.5,李工,LED亮度衰减
WO-2023-1015,2023-10-15,NXT3-01,高速贴片机NXT-III,供料故障,16mm飞达链轮齿磨损,更换链轮,16mm链轮x2,0.5,王工,正常磨损
WO-2023-1102,2023-11-02,NXT3-01,高速贴片机NXT-III,机械故障,输送带磨损板件卡顿,更换输送带,输送带510mm,2.0,陈工,输送带使用10个月
WO-2023-1120,2023-11-20,NXT3-01,高速贴片机NXT-III,气动故障,真空度再次下降,更换真空滤芯并检查管路,真空滤芯x4,1.5,陈工,滤芯寿命缩短需增加更换频率
WO-2023-1210,2023-12-10,NXT3-01,高速贴片机NXT-III,电气故障,电源模块输出电压偏低,电源模块维修更换电容,无(维修),3.0,李工,电容老化
WO-2024-0108,2024-01-08,NXT3-01,高速贴片机NXT-III,吸嘴故障,01号吸嘴磨损0201贴装不良,更换01号小型吸嘴,01号吸嘴x5,0.8,王工,3个月更换周期
WO-2024-0125,2024-01-25,NXT3-01,高速贴片机NXT-III,供料故障,多个8mm飞达同时报错,批量更换链轮清洁飞达,8mm链轮x6,1.5,王工,生产高峰期磨损加速
WO-2024-0215,2024-02-15,NXT3-01,高速贴片机NXT-III,机械故障,X轴定位精度超标,调整丝杆预紧力,无(调整),1.5,陈工,需计划半年内更换丝杆
WO-2024-0301,2024-03-01,NXT3-01,高速贴片机NXT-III,视觉故障,识别率下降雾状污染,清洁相机镜头更换滤芯,空气滤芯x2,1.0,李工,环境粉尘较大
