产品编号,产品名称,类别,零售价(元),批发价(元),成本价(元),平台,上架日期
PRD-001,智能手环健康版,可穿戴设备,299.00,245.00,128.00,天猫,2025-09-01
PRD-002,蓝牙降噪耳机,音频设备,599.00,489.00,215.00,京东,2025-08-15
PRD-003,便携式蓝牙音箱,音频设备,199.00,165.00,72.00,天猫,2025-10-01
PRD-004,无线充电板快充版,充电配件,149.00,125.00,48.00,京东,2025-09-20
PRD-005,智能体重秤WiFi版,健康设备,169.00,138.00,55.00,天猫,2025-07-10
PRD-006,运动智能手表,可穿戴设备,899.00,735.00,320.00,京东,2025-08-01
PRD-007,USB-C扩展坞10合1,电脑配件,259.00,215.00,92.00,天猫,2025-10-15
PRD-008,机械游戏键盘RGB,电脑配件,399.00,328.00,145.00,京东,2025-09-05
PRD-009,4K高清摄像头,电脑配件,349.00,285.00,125.00,天猫,2025-11-01
PRD-010,智能门锁指纹版,智能家居,1299.00,1065.00,480.00,京东,2025-06-20
PRD-011,空气净化器小型,家用电器,499.00,409.00,185.00,天猫,2025-08-10
PRD-012,电动牙刷声波款,个人护理,239.00,195.00,78.00,京东,2025-09-15
PRD-013,迷你投影仪1080P,影音设备,1599.00,1310.00,580.00,天猫,2025-07-25
PRD-014,无线游戏鼠标,电脑配件,199.00,162.00,65.00,京东,2025-10-10
PRD-015,智能台灯护眼版,智能家居,329.00,269.00,110.00,天猫,2025-08-20
PRD-016,颈挂式蓝牙耳机,音频设备,159.00,129.00,52.00,京东,2025-11-05
PRD-017,便携式储能电源,充电配件,2199.00,1799.00,820.00,天猫,2025-06-15
PRD-018,智能摄像头360度,智能家居,249.00,205.00,88.00,京东,2025-09-25
PRD-019,电子书阅读器,消费电子,999.00,819.00,365.00,天猫,2025-07-01
PRD-020,TWS真无线耳机,音频设备,449.00,368.00,155.00,京东,2025-10-20
