产品编号,供应商名称,产品名称,产品描述,单价_人民币,最低起订量,交货期_天,付款条件,年产能_件,质量认证,包装方式
REF-FR-001,深圳华强电子有限公司,TWS蓝牙耳机X500,主动降噪真无线蓝牙5.3耳机 LDAC编码,78.00,1000,35,30%预付/70%出货前,500000,CE/FCC/RoHS,彩盒独立包装
REF-FR-001,东莞声创科技有限公司,TWS蓝牙耳机S600,40dB主动降噪TWS耳机 蓝牙5.3 aptX,85.00,500,28,50%预付/50%提单后,300000,CE/RoHS,彩盒+外箱
REF-FR-002,广州锦绣纺织有限公司,真丝围巾礼盒装,100%桑蚕丝围巾 手工印花 180×65cm,145.00,200,25,T/T全额预付,80000,OEKO-TEX Standard 100,礼盒+防尘袋
REF-FR-002,苏州丝绸研究所,桑蚕丝方巾套装,16姆米重磅真丝方巾 数码印花 90×90cm,168.00,100,30,30%预付/70%出货前,50000,OEKO-TEX/GOTS,精装礼盒
REF-FR-003,义乌百汇日用品有限公司,304不锈钢保温杯,真空双层保温杯500ml 24小时保温,18.50,2000,20,30%预付/70%见提单,1000000,FDA/LFGB,彩盒+外箱
REF-FR-003,永康市优品不锈钢制品厂,316不锈钢保温杯,医用级316不锈钢保温杯500ml 36小时保温,24.00,1000,25,T/T 30%/70%,600000,FDA/LFGB/REACH,独立彩盒
REF-FR-004,佛山美家陶瓷有限公司,骨瓷餐具套装,高档骨瓷餐具24件套 欧式花纹,188.00,300,40,L/C即期,200000,食品接触材料EU认证,泡沫内托+彩箱
REF-FR-004,景德镇御窑陶瓷,高白瓷餐具套装,景德镇高白瓷餐具24件套 手绘金边,220.00,200,50,30%预付/70%出货前,100000,EU食品接触/铅镉合规,木箱+泡沫
REF-FR-005,杭州绿源茶业有限公司,有机龙井绿茶,明前有机龙井绿茶100g铁罐装,52.00,500,15,100%预付,200000,有机认证/EU有机标准,铁罐+外盒
REF-FR-006,浙江康美化妆品有限公司,玻尿酸精华液,三重玻尿酸保湿精华液30ml 医美级,35.00,1000,30,50%预付/50%出货前,800000,CPNP注册/GMP,磨砂玻璃瓶+彩盒
REF-FR-007,东莞智创科技有限公司,智能运动手表,1.85寸AMOLED屏 GPS+心率+血氧 IP68,155.00,500,35,30%预付/70%出货前,400000,CE/FCC/RoHS,彩盒+配件盒
REF-FR-008,福建鸿运鞋业有限公司,飞织运动鞋,全掌气垫缓震跑步鞋 飞织鞋面 36-45码,92.00,600,30,30%预付/70%提单后,500000,REACH合规,鞋盒+外箱
