특허번호,제목,요약,청구항수,출원일,출원인,IPC주분류,IPC부분류,상태
KR2024001,황화물계 고체전해질의 대기안정성 향상 방법,"Li6PS5Cl 고체전해질 표면에 산화물 보호층(Li2O-Al2O3)을 형성하여 대기 노출 시 열화를 방지하는 방법. 72시간 대기 노출 후에도 이온전도도 85% 유지.",20,2023-03-28,삼성SDI,H01M10/0562,H01M10/052,등록
KR2024002,전고체 배터리용 양극 활물질 코팅 기술,"NCM 양극 활물질 표면에 Li2ZrO3 나노코팅을 적용하여 고체전해질과의 계면 반응을 억제하는 기술. 계면 저항 80% 감소 달성.",16,2023-05-10,LG에너지솔루션,H01M4/131,H01M4/62,등록
KR2024003,고체전해질 일체형 전극 제조 방법,"습식 공정 없이 고체전해질과 전극 활물질을 동시에 성형하는 건식 일체형 전극 제조 방법. 공정 단계 50% 감소 및 계면 접촉 개선.",14,2023-07-15,삼성SDI,H01M4/04,H01M10/058,공개
KR2024004,전고체 배터리 스택 가압 시스템,"전고체 배터리 셀 스택에 균일한 압력을 인가하는 시스템으로 탄성체 기반 가압 구조를 채용하여 셀 간 압력 편차를 5% 이내로 제어.",18,2023-09-20,현대자동차,H01M10/04,H01M10/052,공개
KR2024005,산화물계 고체전해질의 저온 소결 기술,"LLZO 고체전해질의 소결 온도를 800°C 이하로 낮추는 플럭스 소결법. Li3BO3-LiF 복합 소결조제 활용으로 치밀도 97% 달성.",22,2023-04-05,삼성SDI,H01M10/058,C04B35/64,등록
KR2024006,전고체 배터리의 열폭주 방지 설계,"전고체 배터리 모듈 내 열전파 차단 구조로 세라믹 기반 열차단 층과 상변화 냉각 시스템을 결합하여 열폭주 전파를 완전 차단.",25,2023-08-12,SK이노베이션,H01M10/6568,H01M10/052,등록
KR2024007,리튬금속 음극의 계면 안정화 기술,"In-Li 합금 시드층을 활용한 리튬금속 음극 계면 안정화 기술. 5 mA/cm2 조건에서 1500회 사이클 안정 동작 확인.",19,2023-06-18,LG에너지솔루션,H01M4/134,H01M10/0562,공개
KR2024008,고체전해질 기반 전지의 고속충전 제어 방법,"고체전해질 전지의 온도와 임피던스 실시간 모니터링 기반 적응형 충전 프로토콜. 10분 이내 80% SOC 충전과 3000회 수명 양립.",15,2024-01-08,현대자동차,H02J7/00,H01M10/052,공개
KR2024009,황화물 고체전해질의 연속 생산 공정,"Li6PS5Cl 고체전해질 분말의 연속식 기계적 밀링 및 열처리 공정. 시간당 50kg 생산 규모로 배치 공정 대비 비용 40% 절감.",12,2023-11-25,삼성SDI,H01M10/0562,B02C17/00,등록
KR2024010,차세대 전고체 배터리 팩 설계,"셀-투-팩 구조를 적용한 전고체 배터리 팩 설계. 팩 수준 에너지밀도 350 Wh/kg 달성 및 모듈 단계 생략으로 부품수 60% 감소.",28,2024-02-15,LG에너지솔루션,H01M50/204,B60L50/64,공개
