商品编号,品类,商品名称,描述,尺码_中国,颜色,材质,重量_克,出厂价_人民币
SKU-2001,女装/连衣裙,碎花雪纺连衣裙,夏季新款V领碎花雪纺长裙收腰显瘦气质通勤连衣裙,S/M/L/XL/XXL,碎花蓝/碎花粉,100%聚酯纤维,280,89.00
SKU-2002,女装/连衣裙,法式复古针织裙,秋冬圆领长袖针织连衣裙修身显瘦过膝中长款打底裙,S/M/L/XL,黑色/焦糖色/墨绿色,70%羊毛30%聚酯纤维,450,128.00
SKU-2003,女装/外套,短款皮衣夹克,春秋PU皮衣女翻领机车皮夹克短款修身显瘦,S/M/L/XL,黑色/卡其色,PU皮革+涤纶内衬,680,168.00
SKU-2004,男装/T恤,纯棉圆领短袖T恤,夏季基础款纯色圆领T恤舒适透气打底衫,M/L/XL/XXL/XXXL,白色/黑色/灰色/藏青,100%新疆长绒棉,220,45.00
SKU-2005,男装/裤装,商务休闲西裤,秋季直筒免烫商务休闲西裤中腰垂感修身长裤,29/30/31/32/33/34/36,黑色/深灰/藏青,65%聚酯纤维35%粘胶纤维,380,98.00
SKU-2006,箱包/双肩包,商务电脑双肩包,15.6寸笔记本电脑背包防水防盗多隔层USB充电口商务出差旅行背包,均码,黑色/深灰,900D牛津布+PVC涂层,850,75.00
SKU-2007,箱包/手提包,女士托特包,大容量牛皮托特包通勤女包简约百搭手提单肩包,均码,黑色/棕色/酒红色,头层牛皮,580,258.00
SKU-2008,配饰/围巾,羊绒围巾,秋冬100%纯羊绒围巾加厚保暖纯色披肩两用,200cm×70cm,驼色/灰色/黑色/酒红,100%内蒙古羊绒,280,188.00
SKU-2009,家居/床品,全棉四件套,60支长绒棉贡缎四件套纯色简约轻奢床上用品被套床单,1.5m床/1.8m床/2.0m床,浅灰/米白/雾蓝/淡粉,100%长绒棉贡缎,2200,268.00
SKU-2010,家居/厨具,不锈钢刀具套装,德国工艺7件套厨房刀具组合菜刀切片刀水果刀磨刀棒刀座,7件套,银色+黑色手柄,德国4Cr13不锈钢+ABS手柄,2800,198.00
SKU-2011,数码/耳机,真无线蓝牙耳机,主动降噪TWS蓝牙5.3耳机40dB降噪HiFi音质30h续航IPX5防水,均码,经典黑/云白/雾蓝,ABS+金属,52,159.00
SKU-2012,数码/充电宝,20000mAh移动电源,22.5W快充移动电源双向快充LED显示屏Type-C双口输出,均码,黑色/白色,铝合金外壳+锂聚合物电芯,380,89.00
SKU-2013,运动/瑜伽服,瑜伽运动套装,高弹力速干瑜伽服套装含运动文胸+高腰紧身裤跑步健身两件套,XS/S/M/L/XL,黑色/藏蓝/酒红/浅紫,82%尼龙18%氨纶,320,128.00
SKU-2014,运动/跑鞋,缓震跑步鞋,全掌气垫减震跑步鞋透气飞织鞋面轻便运动鞋男女通用,36-45(全码),黑白/灰橙/蓝白,飞织鞋面+EVA+TPU气垫,320,168.00
SKU-2015,美妆/面膜,玻尿酸补水面膜,三重玻尿酸深层补水保湿面膜蚕丝面膜贴30片装,30片/盒,N/A,蚕丝面膜布+玻尿酸精华液,500,68.00
SKU-2016,美妆/口红,丝绒哑光口红,持久不脱色丝绒哑光口红显白正红色豆沙色滋润不拔干,均码,正红#101/豆沙#205/蜜桃#308/裸粉#412,蜡基+植物油脂,25,58.00
SKU-2017,母婴/奶瓶,防胀气玻璃奶瓶,新生儿宽口径硼硅玻璃奶瓶防胀气仿母乳奶嘴0-6月,160ml/240ml,透明+浅绿/透明+浅粉,高硼硅玻璃+液态硅胶奶嘴,180,65.00
SKU-2018,母婴/纸尿裤,超薄透气纸尿裤,日本SAP高分子吸水芯体超薄透气0.2cm婴儿纸尿裤,NB/S/M/L/XL,白色+卡通印花,无纺布+SAP高分子+PE膜,按型号不同,89.00
SKU-2019,食品/茶叶,特级龙井绿茶,明前特级西湖龙井绿茶2024年新茶嫩芽罐装,250g/罐,N/A,茶叶,260,328.00
SKU-2020,食品/零食,混合坚果礼盒,每日坚果7种混合坚果仁独立小包装30日量礼盒装,750g(25g×30包),N/A,巴旦木/腰果/核桃/榛子/蔓越莓/葡萄干/南瓜子,800,128.00
