Mã SP,Tên sản phẩm,Danh mục,Giá bán lẻ (₫),Giá sỉ (₫),Nền tảng,Ngày đăng
PRD-001,Vòng tay thông minh phiên bản sức khỏe,Thiết bị đeo,890000,730000,Shopee,2025-09-08
PRD-002,Tai nghe Bluetooth chống ồn,Âm thanh,1890000,1550000,Lazada,2025-08-22
PRD-003,Loa Bluetooth di động,Âm thanh,620000,510000,Shopee,2025-10-06
PRD-004,Đế sạc không dây nhanh,Phụ kiện sạc,459000,376000,Lazada,2025-09-24
PRD-005,Cân thông minh WiFi,Thiết bị sức khỏe,520000,426000,Shopee,2025-07-14
PRD-006,Đồng hồ thông minh thể thao,Thiết bị đeo,2790000,2290000,Lazada,2025-08-06
PRD-007,Hub USB-C 10 trong 1,Phụ kiện máy tính,820000,672000,Shopee,2025-10-22
PRD-008,Bàn phím cơ gaming RGB,Phụ kiện máy tính,1250000,1025000,Lazada,2025-09-12
PRD-009,Webcam 4K độ phân giải cao,Phụ kiện máy tính,1090000,894000,Shopee,2025-11-06
PRD-010,Khóa cửa thông minh vân tay,Nhà thông minh,4190000,3436000,Lazada,2025-06-24
PRD-011,Máy lọc không khí cỡ nhỏ,Gia dụng,1550000,1271000,Shopee,2025-08-14
PRD-012,Bàn chải điện sóng âm,Chăm sóc cá nhân,750000,615000,Lazada,2025-09-19
PRD-013,Máy chiếu mini 1080P,Thiết bị nghe nhìn,5290000,4338000,Shopee,2025-07-30
PRD-014,Chuột gaming không dây,Phụ kiện máy tính,620000,508000,Lazada,2025-10-14
PRD-015,Đèn bàn thông minh,Nhà thông minh,1020000,836000,Shopee,2025-08-24
PRD-016,Tai nghe Bluetooth đeo cổ,Âm thanh,490000,402000,Lazada,2025-11-12
PRD-017,Trạm sạc di động,Phụ kiện sạc,7290000,5978000,Shopee,2025-06-22
PRD-018,Camera thông minh 360 độ,Nhà thông minh,780000,640000,Lazada,2025-10-01
PRD-019,Máy đọc sách điện tử,Điện tử tiêu dùng,3090000,2534000,Shopee,2025-07-06
PRD-020,Tai nghe TWS không dây,Âm thanh,1390000,1140000,Lazada,2025-10-24
