Код товара,Наименование,Категория,Розничная цена (₽),Оптовая цена (₽),Платформа,Дата размещения
PRD-001,Фитнес-браслет Health Edition,Носимые устройства,3890,3200,Wildberries,2025-09-10
PRD-002,Bluetooth наушники с шумоподавлением,Аудио,8490,6950,Ozon,2025-08-20
PRD-003,Портативная Bluetooth колонка,Аудио,2590,2150,Wildberries,2025-10-05
PRD-004,Беспроводная зарядка быстрая,Аксессуары для зарядки,2190,1800,Ozon,2025-09-25
PRD-005,Умные весы с WiFi,Здоровье,2390,1960,Wildberries,2025-07-15
PRD-006,Спортивные смарт-часы,Носимые устройства,13900,11400,Ozon,2025-08-05
PRD-007,USB-C хаб 10-в-1,Компьютерные аксессуары,3890,3190,Wildberries,2025-10-20
PRD-008,Механическая игровая клавиатура RGB,Компьютерные аксессуары,5490,4500,Ozon,2025-09-10
PRD-009,4K веб-камера,Компьютерные аксессуары,5190,4250,Wildberries,2025-11-05
PRD-010,Умный дверной замок,Умный дом,18900,15500,Ozon,2025-06-25
PRD-011,Очиститель воздуха компактный,Бытовая техника,7290,5980,Wildberries,2025-08-15
PRD-012,Электрическая зубная щётка,Личная гигиена,3490,2860,Ozon,2025-09-20
PRD-013,Мини-проектор 1080P,Видео и аудио,24900,20400,Wildberries,2025-07-30
PRD-014,Беспроводная игровая мышь,Компьютерные аксессуары,2890,2370,Ozon,2025-10-15
PRD-015,Умная настольная лампа,Умный дом,4890,4010,Wildberries,2025-08-25
PRD-016,Bluetooth наушники шейные,Аудио,2290,1880,Ozon,2025-11-10
PRD-017,Портативная электростанция,Аксессуары для зарядки,33900,27800,Wildberries,2025-06-20
PRD-018,Умная камера 360°,Умный дом,3690,3020,Ozon,2025-09-30
PRD-019,Электронная книга,Потребительская электроника,14900,12200,Wildberries,2025-07-05
PRD-020,TWS беспроводные наушники,Аудио,6590,5400,Ozon,2025-10-25
