订单号,供应商,商品名称,商品描述,数量,单价_CNY,总价_CNY,HS编码,重量_kg,发货日期
ORD-VN-001,深圳华强电子有限公司,无线蓝牙耳机,主动降噪TWS蓝牙5.3耳机 黑色,200,85.00,17000.00,85183100,0.052,2024-03-15
ORD-VN-002,广州锦绣服饰厂,女士丝绸连衣裙,真丝印花连衣裙 中长款 S/M/L,150,128.00,19200.00,62044300,0.35,2024-03-16
ORD-VN-003,义乌百货贸易公司,不锈钢保温杯,304不锈钢真空保温杯500ml,500,22.00,11000.00,96170000,0.38,2024-03-16
ORD-VN-004,东莞智联科技,智能手表,1.5寸AMOLED智能运动手表 心率血氧监测,100,198.00,19800.00,91021200,0.065,2024-03-17
ORD-VN-005,佛山陶瓷制品厂,陶瓷餐具套装,骨瓷餐具16件套 简约北欧风,80,156.00,12480.00,69111011,3.2,2024-03-18
ORD-VN-006,杭州茶叶集团,龙井绿茶,明前特级龙井茶 250g罐装,300,68.00,20400.00,09021000,0.28,2024-03-18
ORD-VN-007,温州鞋业集团,男士商务皮鞋,头层牛皮商务正装皮鞋 38-44码,120,188.00,22560.00,64035990,0.85,2024-03-19
ORD-VN-008,宁波光学仪器厂,LED台灯,护眼LED台灯 可调色温 USB充电,250,45.00,11250.00,94054090,0.62,2024-03-19
ORD-VN-009,厦门美妆工厂,玻尿酸面膜,三重玻尿酸补水面膜 30片/盒,400,35.00,14000.00,33049900,0.45,2024-03-20
ORD-VN-010,苏州丝绸研究所,真丝围巾,100%桑蚕丝围巾 手绘花卉 礼盒装,60,268.00,16080.00,62141000,0.12,2024-03-20
