리뷰ID	평점	작성일	리뷰내용
REV-001	5	2024-10-01	정말 대만족입니다! 블루투스 연결이 빠르고 노이즈캔슬링 성능이 뛰어나요. 배터리도 하루 종일 써도 충분합니다. 착용감도 편안해서 장시간 사용해도 귀가 아프지 않아요.
REV-002	4	2024-10-02	전체적으로 괜찮은 제품이에요. 음질이 좋고 통화 품질도 나쁘지 않습니다. 다만 케이스가 좀 미끄러워서 떨어뜨릴 뻔했어요. 충전 속도는 빠릅니다.
REV-003	2	2024-10-03	기대했는데 실망입니다. 왼쪽 이어폰이 자주 연결 끊김 현상이 있어요. 구매 3일 만에 이런 문제가 생기니 품질 관리가 안 되는 것 같습니다.
REV-004	1	2024-10-04	최악이에요. 배송은 빨랐는데 박스를 열어보니 충전 케이스에 스크래치가 있었습니다. 사용하지도 않은 제품인데 중고품 같아요. 반품 처리 원합니다.
REV-005	5	2024-10-05	가성비 끝판왕! 이 가격에 이 정도 노캔 성능이면 정말 놀랍습니다. 에어팟프로 쓰다가 넘어왔는데 솔직히 큰 차이 모르겠어요. 강추합니다!!
REV-006	3	2024-10-06	보통이에요. 노이즈캔슬링은 괜찮은데 투명모드가 좀 부자연스럽습니다. 음악 들을 때는 좋은데 통화할 때 상대방이 제 목소리가 작다고 하네요.
REV-007	4	2024-10-07	디자인이 예쁘고 가벼워요. 운동할 때 착용해도 안 빠지고 좋습니다. 방수 기능도 잘 되는 것 같아요. 조금 아쉬운 건 전용 앱이 좀 불편합니다.
REV-008	2	2024-10-08	한 달 쓰니까 배터리 급격히 줄었어요. 처음엔 8시간 갔는데 지금은 4시간도 안 됩니다. 이게 정상인가요? AS 받으려니 해외 제품이라 어렵다고 하네요.
REV-009	5	2024-10-09	세 번째 재구매입니다. 하나는 제가 쓰고, 하나는 부모님 드리고, 이번엔 친구 선물용으로 샀어요. 항상 만족스럽고 주변에도 많이 추천합니다.
REV-010	3	2024-10-10	음질은 좋은 편인데 저음이 좀 과한 느낌이에요. 클래식 음악 들을 때 좀 불편합니다. EQ 조절 기능이 있으면 좋겠어요. 팝이나 힙합 들을 때는 좋습니다.
