Ngày,Dây chuyền,Sản lượng_chiếc,Sản phẩm đạt,Phế phẩm,Tỷ lệ đạt_%,Hiệu suất thiết bị_%,Thời gian dừng_phút,Lý do dừng,Số lần chuyển đổi,Điện năng_kWh,Nhân sự có mặt
2024-11-01,Dây chuyền 1,890,863,27,97.0,85.2,52,Bảo trì định kỳ,2,420,25
2024-11-01,Dây chuyền 2,760,738,22,97.1,81.5,68,Chờ nguyên liệu,1,380,22
2024-11-02,Dây chuyền 1,920,898,22,97.6,87.8,42,Không,1,440,26
2024-11-02,Dây chuyền 2,785,765,20,97.5,83.2,58,Thay khuôn,2,395,22
2024-11-03,Dây chuyền 1,850,824,26,97.0,82.1,65,Hỏng thiết bị,1,400,24
2024-11-03,Dây chuyền 2,790,774,16,98.0,84.5,54,Không,1,398,23
2024-11-04,Dây chuyền 1,935,916,19,97.9,89.1,38,Không,2,455,26
2024-11-04,Dây chuyền 2,800,780,20,97.5,83.8,56,Điều chỉnh máy,2,405,23
2024-11-05,Dây chuyền 1,910,889,21,97.7,88.2,40,Chuyển đổi sản phẩm,2,445,26
2024-11-05,Dây chuyền 2,820,804,16,98.0,86.0,48,Không,1,415,23
2024-11-06,Dây chuyền 1,680,646,34,95.0,65.8,148,Mất điện,0,310,20
2024-11-06,Dây chuyền 2,650,624,26,96.0,63.2,158,Mất điện,0,295,19
2024-11-07,Dây chuyền 1,925,907,18,98.1,88.5,40,Không,2,450,26
2024-11-07,Dây chuyền 2,810,794,16,98.0,85.2,52,Bảo trì định kỳ,1,410,23
2024-11-08,Dây chuyền 1,900,873,27,97.0,86.5,48,Bảo trì định kỳ,2,435,25
2024-11-08,Dây chuyền 2,775,755,20,97.4,82.8,60,Chờ nguyên liệu,1,388,22
2024-11-09,Dây chuyền 1,940,921,19,97.9,89.8,35,Không,1,458,26
2024-11-09,Dây chuyền 2,825,809,16,98.1,86.5,46,Không,1,418,23
2024-11-10,Dây chuyền 1,720,684,36,95.0,70.2,128,Hỏng thiết bị,0,340,21
2024-11-10,Dây chuyền 2,690,662,28,95.9,67.5,138,Thiếu nhân sự,0,320,18
2024-11-11,Dây chuyền 1,950,931,19,98.0,90.5,33,Không,2,462,27
2024-11-11,Dây chuyền 2,830,814,16,98.1,87.2,44,Không,1,420,23
2024-11-12,Dây chuyền 1,905,882,23,97.5,87.0,45,Chuyển đổi sản phẩm,2,440,25
2024-11-12,Dây chuyền 2,795,775,20,97.5,84.0,55,Thay khuôn,2,400,22
2024-11-13,Dây chuyền 1,930,912,18,98.1,89.2,38,Không,1,452,26
2024-11-13,Dây chuyền 2,815,799,16,98.0,85.8,50,Không,1,412,23
2024-11-14,Dây chuyền 1,880,854,26,97.0,84.8,55,Bảo trì định kỳ,2,428,25
2024-11-14,Dây chuyền 2,770,750,20,97.4,82.0,62,Điều chỉnh máy,2,385,22
