项目,2023年Q4,2023年Q3,同比变化(%),2023年全年,2022年全年,同比变化(%)
营业收入(百万元),234.7,221.3,8.2,856.2,762.4,12.3
产品收入(百万元),156.8,148.2,7.5,572.1,513.6,11.4
服务收入(百万元),77.9,73.1,9.8,284.1,248.8,14.2
营业成本(百万元),142.3,135.8,6.1,523.4,472.8,10.7
毛利润(百万元),92.4,85.5,12.0,332.8,289.6,14.9
毛利率(%),39.4,38.6,,38.9,38.0,
销售费用(百万元),28.5,26.8,8.7,105.2,94.1,11.8
管理费用(百万元),18.2,17.5,5.3,68.4,63.2,8.2
研发费用(百万元),12.3,11.8,5.9,46.2,41.5,11.3
营业利润(百万元),38.4,34.2,14.5,142.8,121.3,17.7
营业利润率(%),16.4,15.5,,16.7,15.9,
投资收益(百万元),2.1,1.8,16.7,7.5,6.2,21.0
营业外收入(百万元),0.8,0.5,60.0,2.3,1.8,27.8
利润总额(百万元),41.3,36.5,13.2,152.6,129.3,18.0
所得税费用(百万元),10.8,9.6,12.5,40.1,34.2,17.3
净利润(百万元),30.5,26.9,13.4,98.5,85.6,15.1
归属于母公司股东的净利润(百万元),28.8,25.4,13.4,93.2,81.2,14.8
少数股东损益(百万元),1.7,1.5,13.3,5.3,4.4,20.5
每股收益(元/股),1.15,1.02,12.7,3.73,3.25,14.8
总资产(百万元),1285.6,1223.4,5.1,1285.6,1098.7,17.0
净资产(百万元),856.3,828.5,3.4,856.3,762.8,12.3
资产负债率(%),33.4,32.3,,33.4,30.6,
经营活动现金流(百万元),45.2,38.6,17.1,168.5,142.3,18.4
投资活动现金流(百万元),-22.5,-18.3,,-78.6,-65.2,
筹资活动现金流(百万元),-8.3,-5.2,,-32.1,-28.5,
期末现金余额(百万元),312.8,298.4,4.8,312.8,255.0,22.7
员工总数(人),1856,1789,3.7,1856,1623,14.4
其中:中国(人),1245,1198,,1245,1102,
其中:韩国(人),185,153,,185,135,
其中:日本(人),326,318,,326,296,
其中:其他(人),100,120,,100,90,
