SKU编号,商品名称,仓库位置,当前库存,安全库存,入库日期,状态
SKU-001,蓝牙耳机Pro,上海仓A区,450,100,2025-11-15,正常
SKU-002,无线充电器30W,上海仓A区,280,80,2025-11-20,正常
SKU-003,手机壳（透明）,上海仓B区,1200,300,2025-12-01,正常
SKU-004,USB-C数据线1m,上海仓B区,890,200,2025-11-10,正常
SKU-005,智能手表运动版,深圳仓C区,150,50,2025-12-05,正常
SKU-006,便携式移动电源20000mAh,深圳仓C区,320,100,2025-11-25,正常
SKU-007,降噪耳机头戴式,深圳仓D区,95,30,2025-12-10,低库存
SKU-008,平板支架可调节,上海仓A区,560,150,2025-11-18,正常
SKU-009,无线鼠标静音版,上海仓B区,420,120,2025-12-02,正常
SKU-010,键盘机械青轴,深圳仓C区,180,60,2025-11-28,正常
SKU-011,屏幕保护膜钢化,上海仓A区,2100,500,2025-12-08,正常
SKU-012,车载手机支架磁吸,上海仓B区,340,80,2025-11-22,正常
SKU-013,智能音箱迷你版,深圳仓D区,210,70,2025-12-12,正常
SKU-014,LED台灯护眼款,深圳仓C区,175,50,2025-11-30,正常
SKU-015,运动臂带手机套,上海仓A区,680,200,2025-12-01,正常
SKU-016,蓝牙音箱防水版,上海仓B区,290,90,2025-11-15,正常
SKU-017,快充适配器65W,深圳仓C区,410,100,2025-12-06,正常
SKU-018,数据线编织款2m,上海仓A区,750,180,2025-11-20,正常
SKU-019,无线耳机入耳式,深圳仓D区,88,40,2025-12-15,低库存
SKU-020,笔记本散热器,上海仓B区,230,60,2025-11-25,正常
SKU-021,摄像头1080P高清,深圳仓C区,145,40,2025-12-03,正常
SKU-022,USB集线器7口,上海仓A区,310,80,2025-11-28,正常
SKU-023,智能插座WiFi版,深圳仓D区,195,50,2025-12-09,正常
SKU-024,蓝牙键盘折叠款,上海仓B区,160,45,2025-11-18,正常
SKU-025,手写板数位板,深圳仓C区,120,35,2025-12-11,正常
SKU-026,读卡器多合一,上海仓A区,580,150,2025-11-22,正常
SKU-027,HDMI线2.1版本,上海仓B区,440,100,2025-12-04,正常
SKU-028,耳机收纳盒,深圳仓D区,350,90,2025-11-30,正常
SKU-029,手机云台稳定器,深圳仓C区,75,25,2025-12-13,低库存
SKU-030,迷你投影仪便携,深圳仓D区,60,20,2025-12-16,低库存
