line,shift,planned,actual,good,defect_count,defect_type,yield_pct
A,morning,1200,1190,1185,5,solder,99.58
B,afternoon,1000,989,983,6,cold_solder,99.39
C,morning,800,788,781,7,cosmetic,99.11
A,afternoon,1200,1187,1179,8,alignment,99.33
B,morning,1000,986,981,5,solder,99.49
C,afternoon,800,785,779,6,cold_solder,99.24
A,morning,1200,1184,1177,7,cosmetic,99.41
B,afternoon,1000,990,982,8,alignment,99.19
C,morning,800,789,784,5,solder,99.37
A,afternoon,1200,1188,1182,6,cold_solder,99.49
B,morning,1000,987,980,7,cosmetic,99.29
C,afternoon,800,786,778,8,alignment,98.98
A,morning,1200,1185,1180,5,solder,99.58
B,afternoon,1000,984,978,6,cold_solder,99.39
C,morning,800,790,783,7,cosmetic,99.11
A,afternoon,1200,1189,1181,8,alignment,99.33
B,morning,1000,988,983,5,solder,99.49
C,afternoon,800,787,781,6,cold_solder,99.24
A,morning,1200,1186,1179,7,cosmetic,99.41
B,afternoon,1000,985,977,8,alignment,99.19
C,morning,800,784,779,5,solder,99.36
A,afternoon,1200,1190,1184,6,cold_solder,99.5
B,morning,1000,989,982,7,cosmetic,99.29
C,afternoon,800,788,780,8,alignment,98.98
A,morning,1200,1187,1182,5,solder,99.58
B,afternoon,1000,986,980,6,cold_solder,99.39
C,morning,800,785,778,7,cosmetic,99.11
A,afternoon,1200,1184,1176,8,alignment,99.32
B,morning,1000,990,985,5,solder,99.49
C,afternoon,800,789,783,6,cold_solder,99.24
A,morning,1200,1188,1181,7,cosmetic,99.41
B,afternoon,1000,987,979,8,alignment,99.19
C,morning,800,786,781,5,solder,99.36
A,afternoon,1200,1185,1179,6,cold_solder,99.49
B,morning,1000,984,977,7,cosmetic,99.29
C,afternoon,800,790,782,8,alignment,98.99
A,morning,1200,1189,1184,5,solder,99.58
B,afternoon,1000,988,982,6,cold_solder,99.39
C,morning,800,787,780,7,cosmetic,99.11
A,afternoon,1200,1186,1178,8,alignment,99.33
B,morning,1000,985,980,5,solder,99.49
C,afternoon,800,784,778,6,cold_solder,99.23
A,morning,1200,1190,1183,7,cosmetic,99.41
B,afternoon,1000,989,981,8,alignment,99.19
C,morning,800,788,783,5,solder,99.37
A,afternoon,1200,1187,1181,6,cold_solder,99.49
B,morning,1000,986,979,7,cosmetic,99.29
C,afternoon,800,785,777,8,alignment,98.98
A,morning,1200,1184,1179,5,solder,99.58
B,afternoon,1000,990,984,6,cold_solder,99.39
