发票编号,日期,供应商,买方,商品名称,商品描述,数量,单位,单价_美元,金额_美元,原产国,贸易术语
INV-2024-0381,2024-03-15,深圳市华科电子有限公司,OOO "ВолгаТех",液晶显示模组,10.1英寸TFT液晶显示模组 分辨率1920x1200 IPS,500,件,22.50,11250.00,中国,FOB深圳
INV-2024-0381,2024-03-15,深圳市华科电子有限公司,OOO "ВолгаТех",电容触摸屏,10.1英寸投射式电容触摸屏 多点触控,500,件,7.20,3600.00,中国,FOB深圳
INV-2024-0381,2024-03-15,深圳市华科电子有限公司,OOO "ВолгаТех",主控制板,ARM Cortex-A53 四核 安卓11 主板,300,件,22.00,6600.00,中国,FOB深圳
INV-2024-0382,2024-03-15,深圳市华科电子有限公司,OOO "ВолгаТех",锂电池组,3.7V 6000mAh 锂聚合物电池 带保护板,800,件,4.50,3600.00,中国,FOB深圳
INV-2024-0382,2024-03-15,深圳市华科电子有限公司,OOO "ВолгаТех",充电器,5V/3A USB-C 快速充电器 带线缆,800,件,2.80,2240.00,中国,FOB深圳
INV-2024-0383,2024-03-18,深圳市华科电子有限公司,OOO "ВолгаТех",铝合金外壳,10.1英寸平板电脑铝合金外壳 阳极氧化处理,500,件,8.60,4300.00,中国,FOB深圳
INV-2024-0383,2024-03-18,深圳市华科电子有限公司,OOO "ВолгаТех",散热模组,铜管散热模组 含导热硅脂垫,500,件,3.20,1600.00,中国,FOB深圳
INV-2024-0384,2024-03-20,深圳市华科电子有限公司,OOO "ВолгаТех",WiFi/BT模块,WiFi 6 + 蓝牙5.2 双频模块 PCIe接口,600,件,5.80,3480.00,中国,FOB深圳
INV-2024-0384,2024-03-20,深圳市华科电子有限公司,OOO "ВолгаТех",摄像头模组,前置500万+后置1300万像素 自动对焦,400,件,6.50,2600.00,中国,FOB深圳
INV-2024-0385,2024-03-20,深圳市华科电子有限公司,OOO "ВолгаТех",扬声器组件,双扬声器模组 8Ω 1.5W,500,件,1.85,925.00,中国,FOB深圳
INV-2024-0385,2024-03-20,深圳市华科电子有限公司,OOO "ВолгаТех",连接器套件,USB-C + 耳机孔 + SIM卡座 + SD卡座,500,套,2.80,1400.00,中国,FOB深圳
INV-2024-0385,2024-03-20,深圳市华科电子有限公司,OOO "ВолгаТех",包装材料,平板电脑包装盒含内衬 彩色印刷,1000,件,1.65,1650.00,中国,FOB深圳
INV-2024-0385,2024-03-20,深圳市华科电子有限公司,OOO "ВолгаТех",数据线,USB-C to USB-C 1米数据线,1000,条,0.85,850.00,中国,FOB深圳
INV-2024-0385,2024-03-20,深圳市华科电子有限公司,OOO "ВолгаТех",屏幕保护膜,10.1英寸钢化玻璃屏幕保护膜,1000,件,1.15,1150.00,中国,FOB深圳
INV-2024-0385,2024-03-20,深圳市华科电子有限公司,OOO "ВолгаТех",用户手册,多语言用户手册 (俄/英/中),1000,册,0.56,560.00,中国,FOB深圳
INV-2024-0385,2024-03-20,深圳市华科电子有限公司,OOO "ВолгаТех",保修卡,产品保修卡及合格证,1000,套,0.05,50.00,中国,FOB深圳
INV-2024-0385,2024-03-20,深圳市华科电子有限公司,OOO "ВолгаТех",防静电袋,防静电包装袋 各规格,2000,件,0.12,240.00,中国,FOB深圳
INV-2024-0385,2024-03-20,深圳市华科电子有限公司,OOO "ВолгаТех",标签贴纸,产品序列号标签+EAC标志贴纸,2000,套,0.18,355.00,中国,FOB深圳
INV-2024-0385,2024-03-20,深圳市华科电子有限公司,OOO "ВолгаТех",SIM取卡针,金属SIM卡取卡针,1000,件,0.05,50.00,中国,FOB深圳
INV-2024-0385,2024-03-20,深圳市华科电子有限公司,OOO "ВолгаТех",硅胶保护套,10.1英寸平板硅胶保护套 黑色,500,件,2.70,1350.00,中国,FOB深圳
