날짜,생산라인,생산량_개,양품수,불량품수,수율_%,설비가동률_%,정지시간_분,정지사유,품종교체횟수,전력사용량_kWh,출근인원
2024-11-01,1라인,1100,1072,28,97.5,89.2,38,정기보전,2,520,30
2024-11-01,2라인,950,926,24,97.5,85.8,50,금형교체,2,460,27
2024-11-02,1라인,1150,1124,26,97.7,91.0,32,없음,1,545,31
2024-11-02,2라인,980,958,22,97.8,87.2,45,없음,2,475,28
2024-11-03,1라인,1080,1048,32,97.0,86.5,48,설비고장,1,510,29
2024-11-03,2라인,960,941,19,98.0,86.0,50,자재대기,2,465,27
2024-11-04,1라인,1160,1133,27,97.7,91.5,30,없음,2,550,31
2024-11-04,2라인,990,968,22,97.8,87.8,43,없음,2,480,28
2024-11-05,1라인,1180,1154,26,97.8,92.0,28,없음,1,558,32
2024-11-05,2라인,1010,990,20,98.0,89.0,38,품종교체,2,492,28
2024-11-06,1라인,900,864,36,96.0,72.5,125,정전,0,410,26
2024-11-06,2라인,820,787,33,96.0,70.2,135,정전,0,375,24
2024-11-07,1라인,1170,1147,23,98.0,91.8,29,없음,2,555,31
2024-11-07,2라인,995,975,20,98.0,88.0,42,정기보전,2,483,28
2024-11-08,1라인,1130,1101,29,97.4,90.0,35,정기보전,2,535,30
2024-11-08,2라인,970,949,21,97.8,86.5,48,금형교체,2,470,27
2024-11-09,1라인,1190,1166,24,98.0,92.5,26,없음,1,562,32
2024-11-09,2라인,1020,1000,20,98.0,89.5,36,없음,1,496,28
2024-11-10,1라인,950,912,38,96.0,75.8,108,설비고장,0,435,27
2024-11-10,2라인,880,845,35,96.0,72.0,125,자재부족,0,400,25
2024-11-11,1라인,1200,1176,24,98.0,93.0,24,없음,2,568,32
2024-11-11,2라인,1030,1010,20,98.1,90.0,35,없음,1,502,29
2024-11-12,1라인,1140,1112,28,97.5,90.5,33,품종교체,2,540,31
2024-11-12,2라인,985,963,22,97.8,87.5,44,없음,2,478,28
2024-11-13,1라인,1175,1151,24,98.0,92.0,28,없음,1,556,31
2024-11-13,2라인,1005,985,20,98.0,88.8,40,없음,2,490,28
2024-11-14,1라인,1120,1089,31,97.2,89.5,37,정기보전,2,530,30
2024-11-14,2라인,965,942,23,97.6,86.0,50,금형교체,2,468,27
