年度,科目,金额_万元人民币,备注
2023,营业收入,28500,主营业务收入含软件许可及服务
2023,营业成本,17100,含直接人工及云服务成本
2023,毛利润,11400,毛利率40%
2023,研发费用,4275,占收入15%
2023,管理费用,2850,含行政及人力资源费用
2023,销售费用,2280,含渠道佣金
2023,营业利润,1995,营业利润率7%
2023,净利润,1496,净利率5.2%
2023,总资产,42000,含固定资产及无形资产
2023,总负债,14600,含短期借款3200万
2023,净资产,27400,即股东权益（约合380万美元按7.2汇率折算为38百万美元）
2023,现金及等价物,8500,含银行存款及理财产品
2023,应收账款,6800,账龄90天以内占75%
2023,固定资产,5200,含办公设备及服务器
2023,无形资产,12800,含软件著作权及专利
2023,短期借款,3200,银行贷款年利率4.5%
2023,应付账款,4800,供应商账期60天
2023,长期负债,6600,含融资租赁
2022,营业收入,24200,同比增长17.8%
2022,净利润,1210,净利率5.0%
2022,总资产,36500,
2022,净资产,24800,
2021,营业收入,19800,
2021,净利润,891,
2021,总资产,31200,
2021,净资产,22500,
关联交易,与母公司日本东亚科技株式会社,3800,技术服务费及许可费
关联交易,与韩国子公司,1200,数据服务费
员工人数,研发人员,280,占总人数56%
员工人数,销售人员,120,
员工人数,管理人员,100,
员工人数,合计,500,
主要客户,政府机构,8550,占收入30% 涉及数据安全审查
主要客户,金融机构,7125,占收入25%
主要客户,制造业企业,5700,占收入20%
主要客户,其他,7125,占收入25%
知识产权,软件著作权,47,件
知识产权,发明专利,12,件（含3件涉及数据加密技术）
知识产权,实用新型专利,8,件
