patent_id,title,abstract,claims_count,filing_date,assignee,ipc_primary,ipc_secondary,status
US2024001,Solid-State Electrolyte Composition with Enhanced Ionic Conductivity,"A solid-state electrolyte comprising a lithium-stuffed garnet oxide with formula Li7-xLa3Zr2-xTaxO12 achieving ionic conductivity exceeding 1 mS/cm at room temperature with Li3BO3 sintering aid enabling densification below 1000C.",24,2023-03-15,Toyota Motor Corporation,H01M10/0562,H01M10/052,Granted
US2024002,Method for Manufacturing Thin-Film Solid Electrolyte via Atomic Layer Deposition,"A method for depositing solid electrolyte thin films using plasma-enhanced ALD achieving uniform Li3PO4 films with sub-nanometer thickness control enabling electrolyte layers below 5 micrometers.",18,2023-05-22,Samsung SDI Co. Ltd.,H01M10/058,C23C16/455,Published
US2024003,Composite Cathode Architecture for All-Solid-State Batteries,"A composite cathode with NMC811 active material coated with Li3InCl6 solid electrolyte via mechanofusion achieving interfacial resistance below 10 ohm-cm2 with gradient porosity structure.",31,2023-01-08,QuantumScape Corporation,H01M4/131,H01M4/36,Granted
US2024004,Dendrite-Suppressing Interlayer for Lithium Metal Anodes,"An artificial SEI comprising alternating LiF and Li3N layers on lithium metal anodes suppressing dendrite growth at current densities up to 5 mA/cm2 enabling cycle life exceeding 1000 cycles.",22,2023-07-10,Solid Power Inc.,H01M4/134,H01M10/052,Published
US2024005,Sulfide-Based Solid Electrolyte with Moisture Stability,"Modified argyrodite Li6PS5Cl with partial S-O substitution achieving 3.2 mS/cm ionic conductivity while maintaining stability at 60% RH for over 24 hours.",19,2023-04-18,Panasonic Holdings,H01M10/0562,H01M10/052,Granted
US2024006,Bipolar Stacking Architecture for High-Voltage Solid-State Battery Packs,"Bipolar electrode stack design achieving pack-level 450 Wh/kg energy density eliminating conventional current collectors using electron-conducting solid electrolyte interlayers.",27,2023-08-25,Toyota Motor Corporation,H01M10/0585,H01M10/04,Published
US2024007,Roll-to-Roll Manufacturing Process for Solid-State Battery Electrodes,"Continuous roll-to-roll process producing solid-state composite electrodes at speeds exceeding 10 m/min using dry electrode coating with binder-free solid electrolyte integration.",15,2023-02-14,24M Technologies,H01M4/04,H01M10/058,Granted
US2024008,Hybrid Solid-Liquid Electrolyte Interface Engineering,"Semi-solid-state design with thin liquid interlayer below 1um between solid electrolyte and cathode achieving 95% capacity retention after 500 cycles at 1C rate.",20,2023-06-30,LG Energy Solution,H01M10/052,H01M10/0565,Published
US2024009,Machine Learning-Guided Discovery of Solid Electrolyte Materials,"Computational framework combining DFT with graph neural networks screening 50000 compounds identifying 12 novel compositions with predicted conductivity above 5 mS/cm.",12,2023-09-12,Massachusetts Institute of Technology,G16C20/10,H01M10/0562,Published
US2024010,Pressure-Free Sintering Method for Oxide Solid Electrolytes,"Flash sintering for LLZO achieving over 98% relative density in under 30 seconds without mechanical pressure reducing energy consumption by 70% vs conventional sintering.",16,2023-11-05,Murata Manufacturing,H01M10/058,C04B35/64,Granted
US2024011,All-Solid-State Sodium-Ion Battery with NASICON Electrolyte,"Solid-state sodium-ion battery using Na3Zr2Si2PO12 NASICON with 2.8 mS/cm conductivity achieving 120 mAh/g with Na3V2PO43 cathode and hard carbon anode.",25,2023-04-02,CATL,H01M10/054,H01M10/0562,Published
US2024012,Self-Healing Solid Electrolyte for Extended Cycle Life,"Polymer-ceramic composite with dynamic covalent bonds enabling autonomous crack repair maintaining conductivity above 0.5 mS/cm after mechanical damage.",21,2023-10-18,Stanford University,H01M10/0565,H01M10/052,Published
US2024013,3D-Printed Solid-State Battery Architecture,"Additive manufacturing for 3D-structured solid-state batteries with interdigitated electrodes achieving 5x areal capacity vs planar designs at 2C rate capability.",14,2023-12-01,BMW Group,H01M10/058,B33Y80/00,Published
US2024014,Low-Temperature Solid-State Battery for Aerospace,"Solid-state battery maintaining over 80% capacity at -40C using Li3YCl6 halide electrolyte with engineered grain boundaries for satellite and UAV applications.",19,2024-01-15,Northrop Grumman,H01M10/0525,H01M10/0562,Published
US2024015,Recycling Process for Solid-State Battery Materials,"Hydrometallurgical recycling achieving over 95% recovery of Li La Zr from LLZO electrolyte generating recyclable Li2CO3 and La2O3 precursors.",17,2023-08-08,Redwood Materials,H01M10/54,C22B7/00,Granted
US2024016,Solid-State Battery Management System with Impedance Spectroscopy,"Integrated BMS using in-situ EIS for real-time state-of-health monitoring detecting incipient delamination and void formation at interfaces in solid-state cells.",23,2023-05-30,Tesla Inc.,H01M10/48,G01R31/389,Published
US2024017,Flexible Solid-State Micro-Battery for Wearable Devices,"Flexible thin-film solid-state battery achieving 500 uAh/cm2 with less than 5% capacity loss after 10000 bending cycles at 5mm radius using LiPON on polymer substrate.",13,2023-07-22,Apple Inc.,H01M10/0585,H01M6/40,Granted
US2024018,Interface Buffer Layer for Sulfide-Oxide Electrolyte Integration,"Gradient buffer layer enabling sulfide-oxide bilayer architecture combining 5 mS/cm bulk conductivity with electrochemical stability to 5V.",26,2024-02-10,Samsung SDI Co. Ltd.,H01M10/0562,H01M10/052,Published
US2024019,Solid-State Lithium-Sulfur Battery with Garnet Electrolyte,"All-solid-state Li-S battery using LLZTO garnet achieving 800 mAh/g sulfur utilization over 200 cycles with inherent polysulfide shuttle blocking.",20,2024-03-05,Oxis Energy,H01M10/052,H01M4/38,Published
US2024020,Scalable Dry Room-Free Assembly for Solid-State Batteries,"Manufacturing process eliminating dry room needs using moisture-stable oxide electrolytes and in-line sealing reducing manufacturing cost by estimated 30%.",11,2024-01-28,ProLogium Technology,H01M10/058,H01M10/04,Published
