상품코드,상품명,카테고리,소비자가(₩),도매가(₩),판매플랫폼,등록일
PRD-001,스마트밴드 헬스에디션,웨어러블,54900,45000,쿠팡,2025-09-05
PRD-002,블루투스 노이즈캔슬링 이어폰,오디오,109000,89500,네이버쇼핑,2025-08-18
PRD-003,휴대용 블루투스 스피커,오디오,35900,29500,쿠팡,2025-10-03
PRD-004,무선충전패드 고속충전,충전액세서리,27900,22900,네이버쇼핑,2025-09-22
PRD-005,스마트체중계 WiFi,건강기기,29900,24500,쿠팡,2025-07-12
PRD-006,스포츠 스마트워치,웨어러블,159000,130500,네이버쇼핑,2025-08-03
PRD-007,USB-C 도킹스테이션 10in1,PC액세서리,47900,39300,쿠팡,2025-10-18
PRD-008,기계식 게이밍 키보드 RGB,PC액세서리,72900,59800,네이버쇼핑,2025-09-08
PRD-009,4K 고화질 웹캠,PC액세서리,62900,51600,쿠팡,2025-11-03
PRD-010,스마트도어락 지문인식,스마트홈,239000,196000,네이버쇼핑,2025-06-22
PRD-011,공기청정기 소형,가전,89900,73700,쿠팡,2025-08-12
PRD-012,전동칫솔 음파식,개인케어,42900,35200,네이버쇼핑,2025-09-17
PRD-013,미니빔프로젝터 1080P,영상음향,289000,237000,쿠팡,2025-07-28
PRD-014,무선 게이밍마우스,PC액세서리,35900,29500,네이버쇼핑,2025-10-12
PRD-015,스마트 데스크램프,스마트홈,59900,49100,쿠팡,2025-08-22
PRD-016,넥밴드 블루투스 이어폰,오디오,28900,23700,네이버쇼핑,2025-11-08
PRD-017,휴대용 파워스테이션,충전액세서리,399000,327000,쿠팡,2025-06-18
PRD-018,스마트캠 360도,스마트홈,44900,36800,네이버쇼핑,2025-09-28
PRD-019,전자책 리더기,소비자전자,179000,146800,쿠팡,2025-07-03
PRD-020,TWS 완전무선 이어폰,오디오,79900,65500,네이버쇼핑,2025-10-22
