专利号,标题,摘要,权利要求数,申请日,申请人,IPC主分类,IPC副分类,状态
CN2024001,硫化物固态电解质的大规模制备方法,"一种Li6PS5Cl硫化物固态电解质的工业化制备方法，采用机械化学法结合低温退火工艺，实现年产100吨级规模，离子电导率稳定在2.5 mS/cm以上，成本降低60%。",28,2023-02-20,宁德时代新能源科技,H01M10/0562,C01B25/14,授权
CN2024002,固态电池用复合正极材料及其制备方法,"一种用于全固态锂电池的复合正极材料，包括LiNi0.8Co0.1Mn0.1O2活性材料和Li6PS5Cl固态电解质的核壳结构，界面阻抗低于5 Ω·cm²。",22,2023-04-12,比亚迪股份有限公司,H01M4/131,H01M4/62,授权
CN2024003,氧化物固态电解质薄膜的快速制备技术,"一种基于磁控溅射的LLZO薄膜制备方法，沉积速率达到传统方法的10倍，薄膜厚度控制在1-10微米范围，室温离子电导率0.8 mS/cm。",16,2023-06-08,中国科学院物理研究所,H01M10/058,C23C14/08,公开
CN2024004,固态电池的热管理系统,"一种全固态电池模组的热管理系统，利用固态电解质的低热导率特性设计相变材料散热方案，保证-20°C至60°C范围内稳定运行。",20,2023-03-25,蜂巢能源科技,H01M10/6568,H01M10/052,授权
CN2024005,锂镧锆氧固态电解质的掺杂改性方法,"一种LLZO固态电解质的多元素协同掺杂方法(Al/Ta/Nb)，离子电导率提升至1.5 mS/cm，同时改善与锂金属负极的界面稳定性。",24,2023-05-15,清华大学,H01M10/0562,C04B35/48,公开
CN2024006,固态锂硫电池的硫正极设计,"一种固态锂硫电池正极结构，采用碳纳米管/硫复合材料嵌入Li7P3S11固态电解质基体中，面容量达到6 mAh/cm²，循环300次容量保持率85%。",18,2023-08-10,国轩高科,H01M4/38,H01M10/052,公开
CN2024007,全固态电池的干法制造工艺,"一种无溶剂全固态电池电极制备方法，采用高速搅拌干混+热压成型工艺，生产效率提升3倍，适合卷对卷连续化生产。",14,2023-09-22,亿纬锂能,H01M4/04,H01M10/058,授权
CN2024008,固态电解质与金属锂界面改性技术,"一种原位生成的LiF/Li3N复合界面层技术，通过气相沉积在固态电解质表面构建纳米级界面层，有效抑制锂枝晶生长至10 mA/cm²电流密度。",26,2023-07-05,宁德时代新能源科技,H01M4/134,H01M10/0562,授权
CN2024009,固态电池柔性封装技术,"一种用于柔性固态电池的封装方法，采用Al2O3/聚合物多层复合封装结构，水氧渗透率低于10-6 g/m²/day，可弯折10万次。",12,2023-11-15,宁德时代新能源科技,H01M50/116,H01M10/058,公开
CN2024010,钠离子固态电池电解质材料,"一种Na3SbS4基钠离子固态电解质，通过异价取代策略实现3.5 mS/cm离子电导率，电化学窗口拓宽至5V，适用于高电压钠离子全固态电池。",20,2023-10-02,中南大学,H01M10/054,H01M10/0562,公开
CN2024011,固态电池在线检测与质量控制系统,"一种全固态电池生产线在线检测系统，集成超声波检测和太赫兹成像技术，实现界面缺陷的实时无损检测，检出率达99.2%。",15,2023-06-28,蜂巢能源科技,G01N29/04,H01M10/058,授权
CN2024012,聚合物-无机复合固态电解质膜,"一种PEO/LLZO复合固态电解质膜，通过静电纺丝制备LLZO纳米纤维骨架并填充PEO基聚合物，室温电导率达0.3 mS/cm，力学强度提升5倍。",19,2023-12-10,比亚迪股份有限公司,H01M10/0565,H01M10/052,公开
CN2024013,固态电池模组的快充技术,"一种固态电池快充方法，利用脉冲电流充电策略配合温度预调节，实现15分钟充至80%SOC，循环2000次容量保持率90%以上。",21,2024-01-18,宁德时代新能源科技,H02J7/00,H01M10/052,公开
CN2024014,固态电池回收利用方法,"一种全固态电池材料回收技术，采用选择性溶解-共沉淀工艺，La和Zr回收率分别达98%和96%，电解质再生品性能达到新品的95%。",13,2023-09-05,格林美股份有限公司,H01M10/54,C22B7/00,授权
CN2024015,车规级固态电池系统集成技术,"一种面向新能源汽车的固态电池系统集成方案，包含电芯-模组-PACK三级设计，实现系统能量密度280 Wh/kg和IP68防护等级。",30,2024-02-28,比亚迪股份有限公司,H01M50/204,B60L50/64,公开
