Messung_Nr,Datum,Schicht,Bediener,Durchmesser_mm,Notiz
1,2024-03-10,Spaet,Schmidt,10.0140,
2,2024-03-10,Frueh,Weber,10.0020,
3,2024-03-10,Spaet,Fischer,10.0160,
4,2024-03-10,Frueh,Mueller,10.0040,
5,2024-03-10,Spaet,Schmidt,10.0180,
6,2024-03-10,Frueh,Weber,10.0060,
7,2024-03-10,Spaet,Fischer,10.0200,
8,2024-03-10,Frueh,Mueller,10.0080,
9,2024-03-10,Spaet,Schmidt,10.0220,
10,2024-03-10,Frueh,Weber,10.0100,
11,2024-03-10,Spaet,Fischer,10.0240,
12,2024-03-10,Frueh,Mueller,10.0120,
13,2024-03-10,Spaet,Schmidt,10.0000,
14,2024-03-10,Frueh,Weber,10.0140,
15,2024-03-10,Spaet,Fischer,10.0020,
16,2024-03-11,Frueh,Mueller,10.0160,
17,2024-03-11,Spaet,Schmidt,10.0040,
18,2024-03-11,Frueh,Weber,10.0180,
19,2024-03-11,Spaet,Fischer,10.0060,
20,2024-03-11,Frueh,Mueller,10.0350,Schichtwechsel
21,2024-03-11,Spaet,Schmidt,10.0080,
22,2024-03-11,Frueh,Weber,10.0220,
23,2024-03-11,Spaet,Fischer,10.0100,
24,2024-03-11,Frueh,Mueller,10.0240,
25,2024-03-11,Spaet,Schmidt,10.0120,
26,2024-03-11,Frueh,Weber,10.0000,
27,2024-03-11,Spaet,Fischer,10.0140,
28,2024-03-11,Frueh,Mueller,10.0020,
29,2024-03-11,Spaet,Schmidt,10.0160,
30,2024-03-11,Frueh,Weber,10.0040,
31,2024-03-11,Spaet,Fischer,10.0180,
32,2024-03-12,Frueh,Mueller,10.0060,
33,2024-03-12,Spaet,Schmidt,10.0200,
34,2024-03-12,Frueh,Weber,10.0080,
35,2024-03-12,Spaet,Fischer,10.0220,
36,2024-03-12,Frueh,Mueller,10.0100,
37,2024-03-12,Spaet,Schmidt,10.0240,
38,2024-03-12,Frueh,Weber,10.0120,
39,2024-03-12,Spaet,Fischer,10.0000,
40,2024-03-12,Frueh,Mueller,10.0140,
41,2024-03-12,Spaet,Schmidt,10.0020,
42,2024-03-12,Frueh,Weber,10.0160,
43,2024-03-12,Spaet,Fischer,10.0040,
44,2024-03-12,Frueh,Mueller,10.0180,
45,2024-03-12,Spaet,Schmidt,10.0060,
46,2024-03-12,Frueh,Weber,10.0200,
47,2024-03-12,Spaet,Fischer,10.0080,
48,2024-03-13,Frueh,Mueller,10.0220,
49,2024-03-13,Spaet,Schmidt,10.0100,
50,2024-03-13,Frueh,Weber,10.0240,
51,2024-03-13,Spaet,Fischer,10.0130,
52,2024-03-13,Frueh,Mueller,10.0020,
53,2024-03-13,Spaet,Schmidt,10.0170,
54,2024-03-13,Frueh,Weber,10.0060,
55,2024-03-13,Spaet,Fischer,10.0210,
56,2024-03-13,Frueh,Mueller,10.0100,
57,2024-03-13,Spaet,Schmidt,10.0250,
58,2024-03-13,Frueh,Weber,10.0140,
59,2024-03-13,Spaet,Fischer,10.0290,
60,2024-03-13,Frueh,Mueller,10.0180,
61,2024-03-13,Spaet,Schmidt,10.0330,
62,2024-03-13,Frueh,Weber,10.0220,
63,2024-03-13,Spaet,Fischer,10.0370,
64,2024-03-14,Frueh,Mueller,10.0260,
65,2024-03-14,Spaet,Schmidt,10.0150,
66,2024-03-14,Frueh,Weber,10.0300,Trend
67,2024-03-14,Spaet,Fischer,10.0620,Ausreisser
68,2024-03-14,Frueh,Mueller,10.0340,Trend
69,2024-03-14,Spaet,Schmidt,10.0230,Trend
70,2024-03-14,Frueh,Weber,10.0380,Trend
71,2024-03-14,Spaet,Fischer,10.0270,Trend
72,2024-03-14,Frueh,Mueller,10.0420,Trend
73,2024-03-14,Spaet,Schmidt,10.0310,Trend
74,2024-03-14,Frueh,Weber,10.0460,Trend
75,2024-03-14,Spaet,Fischer,10.0350,Trend
76,2024-03-14,Frueh,Mueller,10.0500,Trend
77,2024-03-14,Spaet,Schmidt,10.0390,Trend
78,2024-03-14,Frueh,Weber,10.0280,Trend
79,2024-03-14,Spaet,Fischer,10.0430,Trend
80,2024-03-15,Frueh,Mueller,10.0320,Trend
