发票编号,日期,供应商,描述,金额(元),币种,状态
ZF-0881,2024-03-02,深圳华科电子,PCB板批次A,85000.00,CNY,已付
ZF-0882,2024-03-04,上海明通物流,国际运输费,42000.00,CNY,已付
ZF-0883,2024-03-06,广州精密模具,注塑模具,56800.00,CNY,已付
ZF-0884,2024-03-09,深圳华科电子,PCB板批次B,38000.00,CNY,已付
ZF-0885,2024-03-11,北京软创科技,ERP定制开发,25000.00,CNY,已付
ZF-0886,2024-03-13,上海明通物流,仓储费用,18500.00,CNY,已付
ZF-0887,2024-03-16,杭州芯达半导体,芯片采购,32500.00,CNY,已付
ZF-0888,2024-03-19,广州精密模具,模具维修,8200.00,CNY,待付
ZF-0892,2024-03-21,深圳华科电子,PCB板批次A,85000.00,CNY,已付
ZF-0889,2024-03-22,东莞力达包装,包装材料,6800.00,CNY,已付
ZF-0890,2024-03-25,上海明通物流,加急运输,15000.00,CNY,已付
合计,,,,,312800.00,,
