发票编号,日期,供应商,描述,金额_人民币,付款状态,银行参考
ZF-0801,2024-03-01,深圳华为技术,网络设备采购,45000.00,已付款,CNY-BNK-001
ZF-0812,2024-03-03,北京联想集团,服务器硬件,38500.00,已付款,CNY-BNK-002
ZF-0823,2024-03-05,上海中兴通讯,光纤模块,12800.00,已付款,CNY-BNK-003
ZF-0834,2024-03-07,广州金蝶软件,ERP许可证,28000.00,已付款,CNY-BNK-004
ZF-0845,2024-03-09,杭州海康威视,监控系统,35200.00,已付款,CNY-BNK-005
ZF-0856,2024-03-11,深圳大疆创新,无人机检测设备,22500.00,已付款,CNY-BNK-006
ZF-0867,2024-03-13,北京小米科技,平板电脑x20,18600.00,已付款,CNY-BNK-007
ZF-0878,2024-03-15,上海宝信软件,数据库维护,15000.00,已付款,CNY-BNK-008
ZF-0889,2024-03-17,深圳华为技术,5G基站模块,52000.00,已付款,CNY-BNK-009
ZF-0892,2024-03-19,广州金蝶软件,云服务年费,16200.00,已付款,CNY-BNK-010
ZF-0892,2024-03-19,广州金蝶软件,云服务年费,16200.00,已付款,CNY-BNK-011
ZF-0901,2024-03-21,杭州海康威视,AI摄像头升级,8900.00,已付款,CNY-BNK-012
ZF-0912,2024-03-23,北京联想集团,笔记本电脑x5,24500.00,已付款,CNY-BNK-013
ZF-0923,2024-03-25,上海中兴通讯,交换机配件,9800.00,已付款,CNY-BNK-014
ZF-0934,2024-03-27,深圳大疆创新,维修服务,6400.00,已付款,CNY-BNK-015
ZF-0945,2024-03-29,北京小米科技,IoT传感器,11200.00,已付款,CNY-BNK-016
ZF-0956,2024-03-30,深圳华为技术,技术咨询,18500.00,已付款,CNY-BNK-017
ZF-0967,2024-03-31,上海宝信软件,安全审计,13500.00,已付款,CNY-BNK-018
