日期,产线,工位,班次,计划产量,实际产量,合格品,不良品,不良类型,开始时间,结束时间,备注
2024-03-18,SMT-A线,工位1,早班,1200,1178,1157,21,焊接不良,06:00,14:00,正常
2024-03-18,SMT-A线,工位1,晚班,1200,1163,1142,21,焊接不良,14:00,22:00,正常
2024-03-18,SMT-B线,工位1,早班,1000,978,957,21,外观不良,06:00,14:00,正常
2024-03-18,SMT-B线,工位1,晚班,1000,963,942,21,外观不良,14:00,22:00,正常
2024-03-18,组装线C,工位1,早班,800,778,757,21,虚焊,06:00,14:00,正常
2024-03-18,组装线C,工位1,晚班,800,763,742,21,虚焊,14:00,22:00,正常
2024-03-19,SMT-A线,工位1,早班,1200,1100,1060,40,缺件,06:00,14:00,停机45分钟
2024-03-19,SMT-A线,工位1,晚班,1200,1160,1137,23,缺件,14:00,22:00,正常
2024-03-19,SMT-B线,工位1,早班,1000,975,952,23,功能异常,06:00,14:00,正常
2024-03-19,SMT-B线,工位1,晚班,1000,960,937,23,功能异常,14:00,22:00,正常
2024-03-19,组装线C,工位1,早班,800,775,752,23,偏移,06:00,14:00,正常
2024-03-19,组装线C,工位1,晚班,800,760,737,23,偏移,14:00,22:00,正常
2024-03-20,SMT-A线,工位1,早班,1200,1172,1157,15,虚焊,06:00,14:00,正常
2024-03-20,SMT-A线,工位1,晚班,1200,1157,1142,15,虚焊,14:00,22:00,正常
2024-03-20,SMT-B线,工位1,早班,1000,972,957,15,焊接不良,06:00,14:00,正常
2024-03-20,SMT-B线,工位1,晚班,1000,957,942,15,焊接不良,14:00,22:00,正常
2024-03-20,组装线C,工位1,早班,800,772,757,15,外观不良,06:00,14:00,正常
2024-03-20,组装线C,工位1,晚班,800,770,748,22,外观不良,14:00,22:00,停机30分钟
2024-03-21,SMT-A线,工位1,早班,1200,1190,1173,17,偏移,06:00,14:00,正常
2024-03-21,SMT-A线,工位1,晚班,1200,1175,1158,17,偏移,14:00,22:00,正常
2024-03-21,SMT-B线,工位1,早班,1000,990,973,17,缺件,06:00,14:00,正常
2024-03-21,SMT-B线,工位1,晚班,1000,975,958,17,缺件,14:00,22:00,正常
2024-03-21,组装线C,工位1,早班,800,790,773,17,功能异常,06:00,14:00,正常
2024-03-21,组装线C,工位1,晚班,800,775,758,17,功能异常,14:00,22:00,正常
2024-03-22,SMT-A线,工位1,早班,1200,1187,1168,19,外观不良,06:00,14:00,正常
2024-03-22,SMT-A线,工位1,晚班,1200,1172,1153,19,外观不良,14:00,22:00,正常
2024-03-22,SMT-B线,工位1,早班,1000,987,968,19,虚焊,06:00,14:00,正常
2024-03-22,SMT-B线,工位1,晚班,1000,972,953,19,虚焊,14:00,22:00,正常
2024-03-22,组装线C,工位1,早班,800,787,768,19,焊接不良,06:00,14:00,正常
2024-03-22,组装线C,工位1,晚班,800,772,753,19,焊接不良,14:00,22:00,正常
2024-03-23,SMT-A线,工位1,早班,1200,1184,1163,21,功能异常,06:00,14:00,正常
2024-03-23,SMT-A线,工位1,晚班,1200,1169,1148,21,功能异常,14:00,22:00,正常
2024-03-23,SMT-B线,工位1,早班,1000,984,963,21,偏移,06:00,14:00,正常
2024-03-23,SMT-B线,工位1,晚班,1000,969,948,21,偏移,14:00,22:00,正常
2024-03-23,组装线C,工位1,早班,800,784,763,21,缺件,06:00,14:00,正常
2024-03-23,组装线C,工位1,晚班,800,769,748,21,缺件,14:00,22:00,正常
2024-03-24,SMT-A线,工位1,早班,1200,1181,1158,23,焊接不良,06:00,14:00,正常
2024-03-24,SMT-A线,工位1,晚班,1200,1166,1143,23,焊接不良,14:00,22:00,正常
2024-03-24,SMT-B线,工位1,早班,1000,981,958,23,外观不良,06:00,14:00,正常
2024-03-24,SMT-B线,工位1,晚班,1000,966,943,23,外观不良,14:00,22:00,正常
2024-03-24,组装线C,工位1,早班,800,781,758,23,虚焊,06:00,14:00,正常
2024-03-24,组装线C,工位1,晚班,800,766,743,23,虚焊,14:00,22:00,正常
