日期,产线,产量_件,良品数,不良品数,良率_%,设备利用率_%,停机时间_分钟,停机原因,换型次数,能耗_千瓦时,人员出勤
2024-11-01,A线,1250,1213,37,97.0,88.5,45,设备保养,2,580,32
2024-11-01,B线,980,951,29,97.0,82.3,68,模具更换,3,490,28
2024-11-02,A线,1320,1274,46,96.5,91.2,30,无,1,610,33
2024-11-02,B线,1015,989,26,97.4,85.1,52,原材料等待,2,510,28
2024-11-03,A线,1180,1139,41,96.5,79.8,95,设备故障,1,520,30
2024-11-03,B线,1050,1029,21,98.0,87.6,42,无,2,530,29
2024-11-04,A线,1290,1258,32,97.5,90.1,35,换型调试,2,595,33
2024-11-04,B线,995,963,32,96.8,83.7,62,品质异常,3,485,27
2024-11-05,A线,1350,1316,34,97.5,92.3,28,无,1,625,34
2024-11-05,B线,1080,1058,22,98.0,89.2,38,无,2,545,29
2024-11-06,A线,1100,1056,44,96.0,76.5,112,设备故障,0,480,31
2024-11-06,B线,920,884,36,96.1,74.8,120,停电,0,380,25
2024-11-07,A线,1310,1278,32,97.6,90.8,32,无,2,608,33
2024-11-07,B线,1045,1024,21,98.0,86.9,45,换型调试,3,525,28
2024-11-08,A线,1280,1241,39,97.0,89.5,40,设备保养,2,590,32
2024-11-08,B线,1000,978,22,97.8,84.2,58,模具更换,2,500,28
2024-11-09,A线,1340,1307,33,97.5,91.8,29,无,1,618,34
2024-11-09,B线,1060,1038,22,97.9,88.5,40,无,2,535,29
2024-11-10,A线,1200,1152,48,96.0,78.2,102,设备故障,1,510,30
2024-11-10,B线,850,807,43,95.0,68.5,148,供应商延迟,0,360,24
2024-11-11,A线,1370,1342,28,97.9,93.1,25,无,2,635,34
2024-11-11,B线,1090,1069,21,98.1,89.8,36,无,2,550,29
2024-11-12,A线,1295,1262,33,97.5,90.2,34,换型调试,2,598,33
2024-11-12,B线,1020,996,24,97.6,85.8,50,品质异常,3,512,28
2024-11-13,A线,1330,1297,33,97.5,91.5,30,无,1,615,33
2024-11-13,B线,1070,1049,21,98.0,88.1,42,无,2,540,29
2024-11-14,A线,1260,1222,38,97.0,88.9,42,设备保养,2,582,32
2024-11-14,B线,975,946,29,97.0,82.0,70,模具更换,3,488,27
