timestamp,sensor_id,temperature_c,vibration_mm_s,pressure_bar,status
2024-03-15 14:00:00,T-07,71.0,1.20,4.20,normal
2024-03-15 14:01:00,T-07,71.3,1.30,4.20,normal
2024-03-15 14:02:00,T-07,71.6,1.20,4.20,normal
2024-03-15 14:03:00,T-07,71.0,1.30,4.20,normal
2024-03-15 14:04:00,T-07,71.3,1.20,4.20,normal
2024-03-15 14:05:00,T-07,71.6,1.30,4.20,normal
2024-03-15 14:06:00,T-07,71.0,1.20,4.20,normal
2024-03-15 14:07:00,T-07,71.3,1.30,4.20,normal
2024-03-15 14:08:00,T-07,71.6,1.20,4.20,normal
2024-03-15 14:09:00,T-07,71.0,1.30,4.20,normal
2024-03-15 14:10:00,T-07,71.3,1.20,4.20,normal
2024-03-15 14:11:00,T-07,71.6,1.30,4.20,normal
2024-03-15 14:12:00,T-07,71.0,1.20,4.20,normal
2024-03-15 14:13:00,T-07,71.3,1.30,4.20,normal
2024-03-15 14:14:00,T-07,71.6,1.20,4.20,normal
2024-03-15 14:15:00,T-07,71.0,1.30,4.20,normal
2024-03-15 14:16:00,T-07,71.3,1.20,4.20,normal
2024-03-15 14:17:00,T-07,71.6,1.30,4.20,normal
2024-03-15 14:18:00,T-07,71.0,1.20,4.20,normal
2024-03-15 14:19:00,T-07,71.3,1.30,4.20,normal
2024-03-15 14:20:00,T-07,73.0,1.50,4.30,warning
2024-03-15 14:21:00,T-07,75.0,2.00,4.30,warning
2024-03-15 14:22:00,T-07,77.0,2.50,4.30,warning
2024-03-15 14:23:00,T-07,82.3,3.20,4.80,alert
2024-03-15 14:24:00,T-07,80.0,3.50,4.60,alert
2024-03-15 14:25:00,T-07,81.0,3.80,4.60,alert
2024-03-15 14:26:00,T-07,82.0,4.10,4.60,alert
2024-03-15 14:27:00,T-07,80.0,3.50,4.60,alert
2024-03-15 14:28:00,T-07,81.0,3.80,4.60,alert
2024-03-15 14:29:00,T-07,82.0,4.10,4.60,alert
2024-03-15 14:30:00,T-07,80.0,3.50,4.60,alert
2024-03-15 14:31:00,T-07,81.0,3.80,4.60,alert
2024-03-15 14:32:00,T-07,78.5,4.10,5.00,emergency_stop
2024-03-15 14:33:00,T-07,48.0,0.50,4.10,shutdown
2024-03-15 14:34:00,T-07,49.0,0.50,4.10,shutdown
2024-03-15 14:35:00,T-07,45.0,0.50,4.10,shutdown
2024-03-15 14:36:00,T-07,46.0,0.50,4.10,shutdown
2024-03-15 14:37:00,T-07,47.0,0.50,4.10,shutdown
2024-03-15 14:38:00,T-07,48.0,0.50,4.10,shutdown
2024-03-15 14:39:00,T-07,49.0,0.50,4.10,shutdown
2024-03-15 14:40:00,T-07,45.0,0.50,4.10,shutdown
2024-03-15 14:41:00,T-07,46.0,0.50,4.10,shutdown
2024-03-15 14:42:00,T-07,47.0,0.50,4.10,shutdown
2024-03-15 14:43:00,T-07,48.0,0.50,4.10,shutdown
2024-03-15 14:44:00,T-07,49.0,0.50,4.10,shutdown
2024-03-15 14:45:00,T-07,45.0,0.50,4.10,shutdown
2024-03-15 14:46:00,T-07,46.0,0.50,4.10,shutdown
2024-03-15 14:47:00,T-07,47.0,0.50,4.10,shutdown
2024-03-15 14:48:00,T-07,48.0,0.50,4.10,shutdown
2024-03-15 14:49:00,T-07,49.0,0.50,4.10,shutdown
2024-03-15 14:50:00,T-07,45.0,0.50,4.10,shutdown
2024-03-15 14:51:00,T-07,46.0,0.50,4.10,shutdown
2024-03-15 14:52:00,T-07,47.0,0.50,4.10,shutdown
2024-03-15 14:53:00,T-07,48.0,0.50,4.10,shutdown
2024-03-15 14:54:00,T-07,49.0,0.50,4.10,shutdown
2024-03-15 14:55:00,T-07,45.0,0.50,4.10,shutdown
2024-03-15 14:56:00,T-07,46.0,0.50,4.10,shutdown
2024-03-15 14:57:00,T-07,47.0,0.50,4.10,shutdown
2024-03-15 14:58:00,T-07,48.0,0.50,4.10,shutdown
2024-03-15 14:59:00,T-07,49.0,0.50,4.10,shutdown
2024-03-15 15:00:00,T-07,45.0,0.50,4.10,shutdown
2024-03-15 15:01:00,T-07,46.0,0.50,4.10,shutdown
2024-03-15 15:02:00,T-07,47.0,0.50,4.10,shutdown
2024-03-15 15:03:00,T-07,48.0,0.50,4.10,shutdown
2024-03-15 15:04:00,T-07,49.0,0.50,4.10,shutdown
2024-03-15 15:05:00,T-07,45.0,0.50,4.10,shutdown
2024-03-15 15:06:00,T-07,46.0,0.50,4.10,shutdown
2024-03-15 15:07:00,T-07,47.0,0.50,4.10,shutdown
2024-03-15 15:08:00,T-07,48.0,0.50,4.10,shutdown
2024-03-15 15:09:00,T-07,49.0,0.50,4.10,shutdown
2024-03-15 15:10:00,T-07,45.0,0.50,4.10,shutdown
2024-03-15 15:11:00,T-07,46.0,0.50,4.10,shutdown
2024-03-15 15:12:00,T-07,47.0,0.50,4.10,shutdown
2024-03-15 15:13:00,T-07,48.0,0.50,4.10,shutdown
2024-03-15 15:14:00,T-07,49.0,0.50,4.10,shutdown
2024-03-15 15:15:00,T-07,45.0,0.50,4.10,shutdown
2024-03-15 15:16:00,T-07,46.0,0.50,4.10,shutdown
2024-03-15 15:17:00,T-07,47.0,0.50,4.10,shutdown
2024-03-15 15:18:00,T-07,48.0,0.50,4.10,shutdown
2024-03-15 15:19:00,T-07,49.0,0.50,4.10,shutdown
