公司名称,年份,季度,产能_GWh,产量_GWh,出货量_GWh,产能利用率_pct,LFP占比_pct,NMC占比_pct,出口占比_pct,营收_亿元,净利润_亿元
宁德时代,2024,Q1,180,155,92.5,86.1,55.2,38.5,32.1,890.3,105.2
宁德时代,2024,Q2,195,168,98.3,86.2,56.8,37.2,33.5,923.5,112.8
宁德时代,2024,Q3,210,182,108.7,86.7,58.1,35.9,35.2,978.2,118.5
宁德时代,2024,Q4,225,195,115.2,86.7,59.3,34.8,36.8,1015.6,125.3
比亚迪,2024,Q1,85,72,45.8,84.7,88.5,11.5,15.2,412.5,48.3
比亚迪,2024,Q2,95,82,52.3,86.3,89.2,10.8,16.8,456.8,55.2
比亚迪,2024,Q3,105,92,61.5,87.6,90.1,9.9,18.5,498.3,62.1
比亚迪,2024,Q4,115,101,68.2,87.8,90.8,9.2,19.2,535.2,68.5
中创新航,2024,Q1,35,28,18.5,80.0,45.5,54.5,22.3,98.5,8.2
中创新航,2024,Q2,40,33,21.2,82.5,47.2,52.8,24.1,112.3,9.5
中创新航,2024,Q3,45,38,25.8,84.4,48.8,51.2,25.8,128.5,11.2
中创新航,2024,Q4,50,42,28.5,84.0,50.1,49.9,27.2,142.8,12.8
亿纬锂能,2024,Q1,28,22,14.2,78.6,52.3,47.7,28.5,78.2,7.5
亿纬锂能,2024,Q2,32,26,16.8,81.3,53.8,46.2,30.2,89.5,8.8
亿纬锂能,2024,Q3,36,30,19.5,83.3,55.1,44.9,31.8,102.3,10.2
亿纬锂能,2024,Q4,40,34,22.1,85.0,56.5,43.5,33.5,115.8,11.5
国轩高科,2024,Q1,25,18,12.5,72.0,62.5,37.5,35.2,62.3,5.2
国轩高科,2024,Q2,28,22,15.2,78.6,64.2,35.8,37.8,72.5,6.1
国轩高科,2024,Q3,32,26,18.8,81.3,65.8,34.2,39.5,85.2,7.5
国轩高科,2024,Q4,35,29,21.5,82.9,67.1,32.9,41.2,95.8,8.8
